name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008
NormalizedIncome,"-397,568,000","-161,053,580.512","-147,376,841.125","-214,323,500","-126,809,800","-76,742,568.8","-14,637,894.7","-18,385,686","-25,939,656.5","10,106,469.3","4,885,916.1","-5,864,401","-10,588,211.111","-16,558,585.029"
InterestIncome,"11,105,000","3,332,000","6,459,000","5,189,000","2,841,000","1,586,000","3,168,000","2,441,764","3,783,735","1,987,904","1,601,750","1,620,965","1,309,141","860,546"
InterestExpense,"-7,566,000","2,888,000","299,000","422,000","8,574,000","3,838,000","242,000","148,836","136,622","919,451","3,525,685","1,346,896","1,555,887","1,138,456"
NetInterestIncome,"16,844,000","-1,383,000","5,729,000","4,278,000","-12,006,000","-3,743,000","2,336,000","638,930","1,703,712","1,068,453","-1,923,935","274,069","-246,746","-277,910"
EBIT,"-405,874,000","-444,658,000","-168,324,000","-219,727,000","-101,536,000","-84,549,000","-17,981,000","-20,678,208","-18,853,435","1,889,661","5,663,655","-4,851,663","-5,817,620","-17,761,385"
EBITDA,"-372,155,000"
ReconciledCostOfRevenue,"35,773,000","154,320,000","173,412,000","175,877,000","173,919,000","167,034,000","160,713,000","148,979,551","140,656,774","108,414,344","63,650,910","43,277,708","43,560,968","21,823,844"
ReconciledDepreciation,"33,719,000","33,682,000","26,817,000","29,838,000","14,535,000","8,756,000","7,955,000","5,692,145","3,752,743","2,790,154","1,910,637","1,569,747","1,558,687","1,107,546"
NetIncomeFromContinuingOperationNetMinorityInterest,"-397,568,000","-447,781,000","-167,759,000","-218,412,000","-110,168,000","-88,518,000","-18,252,000","-20,934,330","-27,592,521","7,183,935","4,827,471","-6,206,239","-7,346,033","-18,893,190"
TotalUnusualItemsExcludingGoodwill,,"-286,746,000","-20,472,000","-6,290,000","23,774,000","-18,008,000","-5,527,000","-3,640,920","-2,361,235","-4,175,049","-83,493","-488,340","3,253,337","-2,335,158"
TotalUnusualItems,,"-286,746,000","-20,472,000","-6,290,000","23,774,000","-18,008,000","-5,527,000","-3,640,920","-2,361,235","-4,175,049","-83,493","-488,340","3,253,337","-2,335,158"
NormalizedEBITDA,"-372,155,000","-124,230,000","-121,035,000","-183,599,000","-110,775,000","-57,785,000","-4,499,000","-11,345,143","-12,739,457","8,854,864","7,657,785","-2,793,576","-7,512,270","-14,318,681"
TaxRateForCalcs,"0.001","0","0.004","0.35","0.3","0.346","0.346","0.3","0.3","0.3","0.3","0.3","0.003","0"
TaxEffectOfUnusualItems,"0","-18,580.512","-89,841.125","-2,201,500","7,132,200","-6,232,568.8","-1,912,894.7","-1,092,276","-708,370.5","-1,252,514.7","-25,047.9","-146,502","11,158.889","-553.029"
