,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location
0,2020,1/1/20,31/12/20,23851000,-44836000,-43832000,63327000,39590000,1383000,6945000,1518000,"Calyxt, Inc.",1705843,36875000,-1.32,MN
1,2019,1/1/19,31/12/19,7296000,-39612000,-39673000,88098000,63522000,2594000,7196000,0,"Calyxt, Inc.",1705843,62508000,-121,MN
2,2018,1/1/18,31/12/18,236000,-27897000,-28115000,118791000,95522000,0,7004000,0,"Calyxt, Inc.",1705843,93397000,-0.91,MN
3,2017,1/1/17,31/12/17,508000,-25980000,-25789000,72167000,57457000,0,4254000,0,"Calyxt, Inc.",1705843,57476000,-1.12,MN
4,2016,1/1/16,31/12/16,399000,-12086000,-12109000,16623000,5465000,0,2865000,0,"Calyxt, Inc.",1705843,13119000,-0.62,MN
5,2015,1/1/15,31/12/15,1272000,-5889000,-5814000,,,,,,"CALYXT, INC.",1705843,24257000,-0.88,MN
