,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,entity.name,entity.cik,current_liability,debt,equity,eps,location
0,2021,1/7/20,30/6/21,84049036,-19170967,-20269261,151470976,87867936,63395256,S&W Seed Co,1477246,61095846,62777012,74393193,-0.55,CO
1,2020,1/7/19,30/6/20,79582198,-19674324,-18763749,155955633,88403807,63882938,S&W Seed Co,1477246,52600276,16109345,81335977,-0.59,CO
2,2019,1/7/18,30/6/19,109722511,-9305242,-4993735,146364269,91645276,71295520,S&W Seed Co,1477246,33927538,13271597,99998212,-0.31,CO
3,2018,1/7/17,30/6/18,64085510,-4725090,-2993592,137767208,79881896,60419276,S&W Seed Co,1477246,42396217,13480099,81742124,-0.21,CO
4,2017,1/7/16,30/6/17,75373810,-11822042,-2408456,117100288,56724192,31489945,S&W Seed Co,1477246,51312931,11405819,61221655,-0.67,CO
5,2016,1/7/15,30/6/16,96044254,365227,2043414,127004985,57588509,21846130,S&W Seed Co,1477246,41398096,18230035,67761444,0.02,CO
6,2015,1/7/14,30/6/15,81208903,-3163127,2385878,122343067,56869653,25521747,S&W Seed Co,1477246,42484189,22171466,51875605,-0.25,CO
7,2014,1/7/13,30/6/14,51533643,373100,1061935,89300409,55440255,28485584,S&W Seed Co,1477246,33055677,4720395,51514235,0.03,CO
8,2013,1/7/12,30/6/13,37338258,-2516027,-3368268,85583219,51767558,25822467,S&W Seed Co,1477246,30234635,5415746,50057063,-0.29,CO
9,2012,1/7/11,30/6/12,14147617,374835,619614,22033695,17423189,6116785,S&W Seed Co,1477246,1903263,0,20130432,0.06,CO
10,2011,1/7/10,30/6/11,2664256,-811448,-1498297,15157261,11617416,5664119,S&W Seed Co,1477246,594997,0,14562264,-0.14,CO
11,2010,1/1/00,30/6/10,6122291,384476,396293,15579134,12919957,2714183,S&W Seed Co,1477247,327607,0,15251527,0.11,CO
