,period.fiscal-year,period.start,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps,location
0,2020,1/11/19,31/10/20,1059371000,-13625000,"CALAVO GROWERS, INC",1133470,32162000,429624000,135895000,41787000,106331000,7059000,256002000,-0.78,CA
1,2019,1/11/18,31/10/19,1195777000,36646000,"CALAVO GROWERS, INC",1133470,71046000,390360000,127515000,36889000,90629000,6174000,285869000,2.09,CA
2,2018,1/11/17,31/10/18,1088758000,32281000,"CALAVO GROWERS, INC",1133470,56535000,367736000,128510000,35044000,98943000,432000,264959000,1.85,CA
3,2017,1/11/16,31/10/17,1075565000,37270000,"CALAVO GROWERS, INC",1133470,57893000,364117000,119828000,30858000,116167000,568000,244122000,2.14,CA
4,2016,1/11/15,31/10/16,935679000,38022000,CALAVO GROWERS INC,1133470,61094000,327933000,134953000,31849000,109341000,583000,215069000,2.19,CA
5,2015,1/11/14,31/10/15,856824000,27199000,CALAVO GROWERS INC,1133470,43669000,284945000,116822000,26351000,97858000,2792000,185982000,1.57,CA
6,2014,1/11/13,31/10/14,782510000,97000,CALAVO GROWERS INC,1133470,-16459000,283464000,123044000,30975000,100997000,7890000,179406000,0.01,CA
7,2013,1/11/12,31/10/13,691451000,-1795000,CALAVO GROWERS INC,1133470,-6904000,239939000,109730000,28673000,112982000,13050000,119093000,-0.12,CA
8,2012,1/11/11,31/10/12,551119000,15802000,CALAVO GROWERS INC,1133470,25379000,207891000,83464000,22948000,73808000,18455000,102719000,1.07,CA
9,2011,1/11/10,31/10/11,522529000,11068000,CALAVO GROWERS INC,1133470,18332000,185323000,71478000,17787000,62835000,23692000,89632000,0.75,CA
10,2010,1/11/09,31/10/10,398351000,17764000,CALAVO GROWERS INC,1133470,28362000,150198000,61812000,14831000,47011000,7458000,88257000,1.22,CA
11,2009,1/11/08,31/10/09,344765000,13611000,CALAVO GROWERS INC,1133470,21742000,123216000,49346000,11731000,36789000,15274000,69487000,0.94,CA
12,2008,1/11/07,31/10/08,361474000,7725000,CALAVO GROWERS INC,1133470,12267000,134686000,55015000,14889000,39602000,26713000,65517000,0.54,CA
13,2007,1/11/06,31/10/07,302984000,7330000,CALAVO GROWERS INC,1133470,12013000,128018000,46585000,8359000,30251000,14413000,74003000,0.51,CA
14,2006,1/11/05,31/10/06,273723000,5788000,CALAVO GROWERS INC,1133470,9317000,107563000,45846000,10569000,33825000,11714000,58943000,0.4,CA
15,2005,1/11/04,31/10/05,258822000,3322000,CALAVO GROWERS INC,1133470,3146000,108482000,41046000,10096000,23428000,13032000,64746000,0.24,CA
16,2004,1/11/03,31/10/04,274218000,6210000,CALAVO GROWERS INC,1133470,9299000,67398000,42940000,11375000,22587000,56000,43937000,0.46,CA
17,2003,1/11/02,31/10/03,246761000,7160000,CALAVO GROWERS INC,1133470,10590000,53689000,36799000,8021000,16064000,85000,37147000,0.55,CA
18,2002,1/11/01,31/10/02,242671000,6915000,CALAVO GROWERS INC,1133470,11942000,55132000,40006000,12461000,20880000,3402000,30556000,0.6,CA
