,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,1/1/21,395521000,40345000,54241000,366575000,222283000,141011000,53329000,38271000,"MGP INGREDIENTS, INC.",835011,262526000,2.37
1,2019,1/1/20,362745000,38793000,47242000,322597000,184206000,136931000,39295000,40658000,"MGP INGREDIENTS, INC.",835011,231044000,2.27
2,2018,1/1/19,376089000,37284000,50148000,277892000,154623000,108769000,37463000,21040000,"MGP Ingredients, Inc.",835011,201441000,2.17
3,2017,1/1/18,347448000,41823000,42909000,240328000,134742000,93149000,41580000,21407000,"MGP Ingredients, Inc.",835011,168730000,2.44
4,2016,1/1/17,318263000,31184000,41975000,225336000,110901000,78858000,36995000,16218000,"MGP Ingredients, Inc.",835011,146292000,1.82
5,2015,1/1/16,327604000,26191000,32850000,194310000,91180000,58701000,37661000,7579000,MGP INGREDIENTS INC,835011,116160000,1.48
6,2014,1/1/15,313403000,23675000,16619000,160215000,82245000,34441000,30748000,7670000,MGP INGREDIENTS INC,835011,104365000,1.32
7,2013,1/1/14,323264000,-4929000,-5199000,151329000,71886000,34917000,34150000,3611000,MGP INGREDIENTS INC,835011,81603000,-0.29
8,2012,1/1/13,334335000,1624000,-944000,163171000,78091000,36532000,29771000,5168000,MGP INGREDIENTS INC,835011,86827000,0.09
9,2011,1/1/12,146563000,10635000,3162000,169157000,78058000,31082000,59171000,6852000,MGP INGREDIENTS INC,835011,84430000,0.59
10,2011,30/6/11,248189000,-1313000,645000,136483000,60213000,17079000,37832000,7702000,MGP INGREDIENTS INC,835011,75198000,-0.08
11,2010,30/6/10,201971000,8738000,7255000,121284000,48780000,14510000,23638000,2082000,MGP INGREDIENTS INC,835011,72784000,0.52
12,2009,30/6/09,291812000,-69123000,-79008000,145132000,80787000,20400000,49545000,9632000,MGP INGREDIENTS INC,835011,63884000,-4.17
