,period.fiscal-year,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,30/9/20,4131600000,387400000,Scotts Miracle-Gro Co,825542,585200000,3380500000,1216600000,621900000,950400000,1455100000,697200000,6.96
1,2019,30/9/19,3156000000,460700000,Scotts Miracle-Gro Co,825542,409600000,3028700000,1041700000,540300000,620500000,1523500000,718700000,8.3
2,2018,30/9/18,2663400000,63700000,Scotts Miracle-Gro Co,825542,198900000,3054500000,885700000,481400000,612700000,1883800000,354600000,1.13
3,2017,30/9/17,2642100000,218300000,Scotts Miracle-Gro Co,825542,433400000,2747000000,881700000,407500000,544500000,1258000000,648800000,3.68
4,2016,30/9/16,2506200000,315300000,SCOTTS MIRACLE-GRO CO,825542,447600000,2755800000,1032900000,394700000,707100000,1030900000,715200000,5.16
5,2015,30/9/15,2371100000,159800000,SCOTTS MIRACLE-GRO CO,825542,253800000,2527200000,1119200000,395800000,618600000,1025000000,620700000,2.62
6,2014,30/9/14,2189300000,166500000,SCOTTS MIRACLE-GRO CO,825542,283700000,2058300000,935000000,385100000,544700000,692400000,553700000,2.7
7,2013,30/9/13,2166200000,161100000,SCOTTS MIRACLE-GRO CO,825542,310500000,1937200000,881000000,324900000,509800000,478100000,710500000,2.61
8,2012,30/9/12,,106500000,SCOTTS MIRACLE-GRO CO,825542,241200000,2074400000,1000000000,414900000,433600000,781100000,601900000,1.75
16,2011,30/9/11,,167900000,SCOTTS MIRACLE-GRO CO,825542,274800000,2052200000,992500000,387000000,468600000,791800000,559800000,2.6
17,2010,30/9/10,,204100000,SCOTTS MIRACLE-GRO CO,825542,374400000,2164000000,1118100000,352900000,736800000,436700000,764500000,3.08
18,2009,30/9/09,,153300000,SCOTTS MIRACLE-GRO CO,825542,260500000,2220100000,1090900000,458900000,756800000,,584500000,2.36
19,2008,30/9/08,,-10900000,SCOTTS MIRACLE-GRO CO,825542,139800000,,,,,,436700000,-0.17
20,2007,30/9/07,,,,,,,,,,,479300000,
