,period.fiscal-year,period.start,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps,location
0,2020,1/11/19,31/10/20,159937000,-16435000,LIMONEIRA COMPANY,1342423,-19008000,389600000,42520000,0,31461000,125848000,195760000,-0.96,CA
1,2019,1/11/18,31/10/19,166549000,-5943000,LIMONEIRA COMPANY,1342423,-5514000,399867000,35070000,0,31664000,108915000,221688000,-0.37,CA
2,2018,1/11/17,31/10/18,124344000,20188000,LIMONEIRA COMPANY,1342423,9486000,421339000,31044000,0,27074000,80093000,219140000,1.26,CA
3,2017,1/11/16,31/10/17,115869000,6595000,LIMONEIRA CO,1342423,11863000,339031000,23120000,0,23614000,105113000,136793000,0.42,CA
4,2016,1/11/15,31/10/16,106130000,8058000,Limoneira CO,1342423,9188000,305448000,18499000,0,23751000,90672000,126498000,0.52,CA
5,2015,1/11/14,31/10/15,95124000,7082000,Limoneira CO,1342423,4583000,269370000,13762000,0,19672000,89668000,121272000,0.46,CA
6,2014,1/11/13,31/10/14,98522000,6991000,Limoneira CO,1342423,9893000,246887000,14820000,0,21133000,68354000,118329000,0.46,CA
7,2013,1/11/12,31/10/13,79990000,4906000,Limoneira CO,1342423,5398000,209914000,13597000,0,14675000,62132000,107653000,0.36,CA
8,2012,1/11/11,31/10/12,61553000,3150000,Limoneira CO,1342423,4556000,172622000,9387000,0,11604000,89635000,49702000,0.26,CA
9,2011,1/11/10,31/10/11,46085000,1598000,Limoneira CO,1342423,1010000,159028000,6452000,0,6789000,82871000,49052000,0.12,CA
10,2010,1/11/09,31/10/10,47034000,323000,LIMONEIRA CO,1342423,3123000,159438000,7393000,0,6338000,85938000,52096000,0.01,CA
11,2009,1/11/08,31/10/09,31033000,-2877000,LIMONEIRA CO,1342423,-7504000,141868000,7618000,0,5189000,69716000,51761000,-0.28,CA
12,2008,1/11/07,31/10/08,49794000,3495000,LIMONEIRA CO,1342424,5836000,,,,,,54786000,0.31,CA
