,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location
0,2021,1/6/20,29/5/21,1348987000,2060000,-26264000,1229174000,519931000,218375000,90097000,563000,1012781000,"CAL-MAINE FOODS, INC.",16160,0.04,MS
1,2020,2/6/19,31/5/20,1351609000,18391000,1269000,1206694000,522251000,187216000,93183000,857000,1009675000,"CAL-MAINE FOODS, INC.",16160,0.38,MS
2,2019,3/6/18,1/6/19,1361188000,54229000,45781000,1156278000,567753000,172237000,74907000,2337000,986624000,"CAL-MAINE FOODS, INC.",16160,1.12,MS
3,2018,4/6/17,2/6/18,1502932000,125932000,100507000,1150447000,587520000,168644000,107838000,6090000,953333000,"CAL-MAINE FOODS, INC.",16160,2.6,MS
4,2017,29/5/18,3/6/17,1074513000,-74278000,-134146000,1033094000,436206000,160692000,64679000,10939000,842687000,CAL-MAINE FOODS INC,16160,-1.54,MS
5,2016,31/5/15,28/5/18,1908650000,316041000,471877000,1111765000,626283000,154799000,83451000,25570000,915275000,CAL-MAINE FOODS INC,16160,6.56,MS
6,2015,1/6/14,30/5/15,1576128000,161254000,234767000,928653000,508964000,146260000,101546000,50860000,703564000,CAL-MAINE FOODS INC,16160,3.35,MS
7,2014,2/6/13,31/5/14,1440907000,109207000,146052000,811661000,445393000,146117000,121101000,61093000,593833000,CAL-MAINE FOODS INC,16160,2.27,MS
8,2013,3/6/12,1/6/13,1288104000,50423000,59593000,745627000,414881000,147993000,130195000,65020000,517732000,CAL-MAINE FOODS INC,16160,1.05,MS
9,2012,29/5/11,2/6/12,1113116000,89735000,88652000,726316000,442202000,117158000,140656000,76220000,479125000,CAL-MAINE FOODS INC,16160,3.76,MS
10,2011,30/5/10,28/5/11,941981000,60839000,83483000,640843000,355041000,110021000,107482000,88161000,418906000,CAL MAINE FOODS INC,16160,2.55,MS
11,2010,31/5/09,29/5/10,910143000,67823000,102604000,631284000,338160000,93968000,117974000,134673000,376956000,CAL MAINE FOODS INC,16160,2.85,MS
12,2009,1/6/08,30/5/09,928812000,79500000,121474000,582845000,241685000,97535000,103686000,129789000,333009000,"CAL-MAINE FOODS, INC.",16160,3.34,MS
13,2008,3/6/07,31/5/08,915939000,151861000,223637000,501236000,224265000,76766000,102715000,97150000,275680000,"CAL-MAINE FOODS, INC.",16160,6.41,MS
14,2007,4/6/06,2/6/07,598128000,36656000,58230000,364568000,156310000,62208000,75758000,112852000,155739000,"CAL-MAINE FOODS, INC.",16160,1.56,MS
15,2006,29/5/05,3/6/06,477555000,-1013000,4515000,317118000,125678000,57843000,64878000,103912000,119775000,"CAL-MAINE FOODS, INC.",16160,-0.04,MS
16,2005,30/5/04,28/5/05,375266000,-10358000,-12325000,269534000,125956000,45628000,52369000,82994000,121855000,CAL-MAINE FOODS INC,16160,-0.43,MS
17,2004,1/6/03,29/5/04,572331000,66442000,106322000,301559000,151939000,49896000,58990000,90031000,140165000,CAL-MAINE FOODS INC,16160,2.78,MS
18,2003,2/6/02,31/5/03,387462000,12212000,26264000,235392000,85179000,51005000,57430000,108244000,66085000,CAL-MAINE FOODS INC,16160,1.04,MS
19,2002,3/6/01,1/6/02,326171000,-10574000,-7928000,229654000,75308000,46108000,57998000,118362000,54460000,CAL-MAINE FOODS INC,16160,-0.9,MS
