,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location
0,2020,1/1/20,31/12/20,8514272,-1758716,-2362624,4813266,3683293,327109,5903689,0,"SURNA
INC.",1482541,-1333698,-0.01,CO
1,2019,1/1/19,31/12/19,15224454,-1338566,-1310589,4047318,2561268,1231243,3998740,0,"SURNA
INC.",1482541,-355631,-0.01,CO
2,2018,1/1/18,31/12/18,9581968,-4743745,-4820494,2753221,1527808,935886,2558885,0,Surna Inc.,1482541,194336,-0.02,CO
3,2017,1/1/17,31/12/17,7210241,-4918699,-4241660,4828823,3707418,522622,3398941,0,Surna Inc.,1482541,1412486,-0.03,CO
4,2016,1/1/16,31/12/16,7579863,-3272613,-532917,2117821,1356811,747905,4216880,0,Surna Inc.,1482541,-2111044,-0.02,CO
5,2015,1/1/15,31/12/15,7865243,-5296022,-3113843,3102734,2292740,1261802,5312971,0,Surna Inc.,1482541,-2847297,-0.04,CO
6,2014,1/1/14,31/12/14,1838912,-2991969,-3192464,2321292,1505913,264031,2285300,0,Surna Inc.,1482541,-883752,-0.03,CO
7,2013,1/1/13,31/12/13,50,-193156,-193156,4409,4409,0,2641766,0,Surna Inc.,1482541,-2637357,0,CO
8,2012,1/1/12,31/12/12,310,-767365,-778972,18115,1447,0,2455370,0,Surna Inc.,1482541,-2437255,-0.01,CO
9,2011,1/12/11,31/12/11,335,-86070,-84176,39118,9118,0,1709008,0,Surna Inc.,1482541,-1669890,0,CO
10,2011,1/12/10,30/11/11,938,-1593872,-1583872,39883,8772,0,1620769,0,Surna Inc.,1482541,-1580886,-0.02,CO
,,,,,,,,,,,,,,,,
