,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps,location
0,2020,1/10/19,30/9/20,92507000,23662000,6921000,"ALICO, INC.",3545,423937000,51899000,40855000,21158000,0,216341000,3.16,FL
1,2019,1/10/18,30/9/19,122251000,37833000,45214000,"ALICO, INC.",3545,417388000,61977000,40143000,28951000,158111000,194303000,5.06,FL
2,2018,1/10/17,30/9/18,81281000,13050000,10535000,"ALICO, INC.",3545,423422000,71061000,41033000,21476000,169074000,172117000,1.59,FL
3,2017,1/10/16,30/9/17,129829000,-9451000,-6094000,ALICO INC,3545,419182000,66489000,36204000,15983000,181926000,160641000,-1.14,FL
4,2016,1/10/15,30/9/16,144196000,6993000,21846000,ALICO INC,3545,455445000,71871000,58469000,18678000,192726000,173490000,0.84,FL
5,2015,1/10/14,30/9/15,153126000,13183000,18964000,ALICO INC,3545,460088000,70763000,58273000,24134000,200970000,170704000,1.64,FL
6,2014,1/10/13,30/9/14,104003000,9495000,9383000,ALICO INC,3545,257580000,125712000,25469000,20670000,58444000,161851000,1.29,FL
7,2013,1/10/12,30/9/13,101661000,19646000,11935000,ALICO INC,3545,198840000,59795000,29403000,11491000,34000000,142736000,2.69,FL
8,2012,1/10/11,30/9/12,127187000,18489000,23742000,ALICO INC,3545,185083000,51467000,27290000,17148000,36633000,127546000,2.51,FL
9,2011,1/10/10,30/9/11,98592000,7097000,15237000,ALICO INC,3545,180035000,29181000,22373000,11827000,53879000,112414000,0.96,FL
10,2010,1/10/09,30/9/10,79792000,-623000,3465000,ALICO INC,3545,188817000,37441000,18601000,7912000,72179000,105237000,-0.08,FL
11,2009,1/10/08,30/9/09,89528000,-3649000,-7258000,ALICO INC,3545,200235000,51335000,18737000,12644000,73806000,106876000,-0.49,FL
12,2008,1/10/07,30/9/08,116382000,5603000,2579000,ALICO INC,3545,273932000,123130000,27451000,18200000,132288000,115493000,0.64,FL
13,2007,1/9/07,30/9/07,758000,-849000,-884000,ALICO INC,3545,285349000,135376000,27232000,25138000,134534000,116946000,-0.09,FL
14,2007,1/9/06,31/8/07,132005000,-13690000,16958000,ALICO INC,3545,,,,,,,-1.86,FL
15,2006,1/9/05,31/8/06,74164000,6791000,5351000,ALICO INC,3545,,,,,,,0.92,FL
