,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,entity.name,entity.cik,current_asset,inventory,current_liability,debt,equity,eps,location
0,2018,1/1/18,31/12/18,66000,3715000,-6427000,30695000,TWO RIVERS WATER & FARMING Co,1302946,64000,0,20092000,9272000,-12970000,0.08,CO
1,2017,1/1/17,31/12/17,692000,-12698000,-9070000,38152000,TWO RIVERS WATER & FARMING Co,1302946,70000,0,24777000,18657000,-19615000,-0.4,CO
2,2016,1/1/16,31/12/16,272000,-8119000,-3605000,47767000,TWO RIVERS WATER & FARMING Co,1302946,3180000,0,18916000,15538000,-9071000,-0.38,CO
3,2015,1/1/15,31/12/15,3438000,-3746000,-2232000,47889000,TWO RIVERS WATER & FARMING Co,1302946,6558000,0,15757000,14698000,31124000,-0.22,CO
4,2014,1/1/14,31/12/14,2436000,-4666000,-3431000,43030000,TWO RIVERS WATER & FARMING Co,1302946,2128000,0,4249000,13370000,28695000,-0.24,CO
5,2013,1/1/13,31/12/13,2091000,-5050000,-3103000,41702000,TWO RIVERS WATER & FARMING Co,1302946,2260000,0,3123000,15720000,25618000,-0.2,CO
6,2012,1/1/12,31/12/12,1075000,-14549000,-7889000,44452000,TWO RIVERS WATER & FARMING Co,1302946,1647000,0,12106000,15346000,27978000,-0.61,CO
7,2011,1/1/11,31/12/11,105000,-6147000,-6640000,35458000,TWO RIVERS WATER & FARMING Co,1302946,1064000,0,1158000,13540000,22196000,-0.27,CO
8,2010,1/1/10,31/12/10,196000,-9466000,-7607000,27198000,TWO RIVERS WATER Co,1302946,699000,0,577000,9128000,17493000,-0.67,CO
9,2009,1/1/09,31/12/09,11000,-3100000,-2169000,11205000,Two Rivers Water Company,1302946,1757000,0,1266000,3125000,7764000,-0.33,CO
10,2008,1/1/08,31/12/08,1439000,822000,-1858000,9350000,TWO RIVERS WATER & FARMING Co,1302946,3180000,0,1663000,1391000,7687000,0.02,CO
11,2007,1/1/07,31/12/07,844000,2301000,-910000,9423000,TWO RIVERS WATER Co,1302946,4714000,0,455000,286000,8968000,0.26,CO
