,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps,location
0,2020,1/12/19,30/11/20,169410,-1505157,-1535343,PureBase Corp,1575858,635340,15340,0,1808014,0,-1301674,-0.01,CA
1,2019,1/12/18,30/11/19,361930,-3133423,-1349980,PureBase Corp,1575858,231188,30416,0,976821,0,-745633,-0.02,CA
2,2018,1/12/17,30/11/18,564296,-1164463,-1095534,PureBase Corp,1575858,227378,24290,0,5220989,0,-4993611,-0.01,CA
3,2017,1/12/16,30/11/17,484706,-1629562,-2142167,PureBase Corp,1575858,286103,73009,0,4318665,0,-4032562,-0.01,CA
4,2016,1/12/15,30/11/16,177705,-2701166,-2554765,PureBase Corp,1575858,947462,652727,0,3762542,0,-2787907,-0.02,CA
5,2015,1/12/14,30/11/15,51898,-1412336,-1310169,PureBase Corp,1575858,403938,97163,0,1388009,0,-984071,-0.01,CA
,,,,,,,,,,,,,,,,CA
