,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location
0,2020,1/1/20,31/12/20,1170156,-632365,-681883,4924941,4081283,1723674,2374549,187447,2550392,"NOCERA, INC.",1756180,-0.0538,GA
1,2019,1/1/19,31/12/19,456860,-1256752,-1380469,3359189,2502640,287409,2596776,0,733341,"NOCERA, INC.",1756180,-0.1017,GA
2,2018,1/1/18,31/12/18,4812788,1791349,2501777,4241353,4182651,63401,2209041,0,1853326,"NOCERA, INC.",1756180,0.179,GA
