name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
			LongTermEquityInvestment,"0","2,484,000","2,694,000","0",,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"0","2,484,000","2,694,000","0",,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"5,067,000","2,051,000","1,645,000","1,516,000","1,052,000","1,769,000","1,460,000","2,032,000","1,710,000","344,000","349,000","52,000",,,,"28,232","43,237","27,552","32,054","15,298",,,
			NonCurrentDeferredTaxesAssets,"5,067,000","2,051,000","1,645,000","1,516,000","1,052,000","1,769,000","1,460,000","2,032,000","1,710,000","344,000","349,000","52,000",,,,"28,232","43,237","27,552","32,054","15,298",,,
		NonCurrentPrepaidAssets,"745,000","820,000","685,000","548,000","702,000","501,000","1,087,000","1,168,000","1,107,000",,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,178,000","1,205,000","1,444,000","1,448,000","1,152,000","1,343,000","1,393,000","1,479,000","3,396,000","3,879,000","3,403,000","1,256,000","1,216,000","349,000","142,000","189,674","0","42,525","64,923","15,298",,,
TotalLiabilitiesNetMinorityInterest,"95,900,000","43,675,000","29,365,000","32,594,000","35,466,000","47,192,000","50,674,000","83,467,000","54,494,000","33,589,000","20,113,000","15,361,000","14,559,000","11,384,000","6,883,000","6,918,732","2,994,831","2,885,350","1,448,640","1,192,847","982,000","211,000","18,000"
	CurrentLiabilities,"82,870,000","34,994,000","26,810,000","29,593,000","29,823,000","41,015,000","36,302,000","70,562,000","43,666,000","30,603,000","18,204,000","12,074,000","12,395,000","10,055,000","6,880,000","6,918,732","2,994,831","2,885,350","1,448,640","1,192,847",,,
		PayablesAndAccruedExpenses,"66,846,000","25,549,000","21,759,000","24,189,000","24,911,000","28,896,000","28,538,000","50,503,000","35,893,000","28,321,000","16,661,000","11,112,000","11,567,000","9,568,000","4,988,000","5,766,492","2,903,694","1,552,164","990,029","1,106,126",,,
			Payables,"64,426,000","21,320,000","17,618,000","20,066,000","20,405,000","24,132,000","23,774,000","45,434,000","28,695,000","22,010,000","10,581,000","6,834,000","6,605,000","4,960,000","2,839,000","2,372,650","439,425","223,627","442,349","821,808",,,
				AccountsPayable,"6,996,000","20,406,000","17,129,000","19,105,000","19,714,000","23,655,000","23,008,000","31,766,000","28,695,000","21,731,000","9,931,000","6,834,000","6,605,000","4,960,000","2,839,000","2,372,650","439,425","223,627","442,349","175,351",,,
				TotalTaxPayable,"326,000","914,000","489,000","961,000","691,000","477,000","574,000",,"0","279,000","650,000",,,,,,,,,"646,457",,,
					IncomeTaxPayable,"326,000","914,000","489,000","961,000","691,000","477,000","574,000",,"0","279,000","650,000",,,,,,,,,"646,457",,,
				DuetoRelatedPartiesCurrent,,,,,,,"192,000","13,668,000",,,,,,,,,,,,,,,
				OtherPayable,"57,104,000",,,"0","0","0","192,000","13,668,000","0",,"0","0","0","0","0","0","0","0","0","0",,,
			CurrentAccruedExpenses,"2,420,000","4,229,000","4,141,000","4,123,000","4,506,000","4,764,000","4,764,000","5,069,000","7,198,000","6,311,000","6,080,000","4,278,000","4,962,000","4,608,000","2,149,000","3,393,842","2,464,269","1,328,537","547,680","284,318",,,
		CurrentProvisions,"4,085,000","293,000","382,000","539,000","474,000","530,000","2,101,000","13,482,000","916,000",,,,,,,,,,,,,,
