name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,12/31/2015,12/31/2014,12/31/2013
TotalAssets,"8,758,190,000","12,551,897,000","11,616,787,000","9,574,433,000","14,182,118,054.491","13,559,183,954.574","1,545,117.5"
	CurrentAssets,"6,102,916,000","9,719,854,000","8,850,558,000","7,618,294,000","36,422,472.472","67,898,540.57","1,545,117.5"
		CashCashEquivalentsAndShortTermInvestments,"2,168,640,000","3,323,834,000","3,471,030,000","4,532,804,000","32,980,118.837","63,703,803.788","1,545,117.5"
			CashAndCashEquivalents,"1,365,370,000","2,161,014,000","2,465,073,000","1,532,629,000","32,980,118.837","63,703,803.788","1,545,117.5"
				CashFinancial,"1,365,370,000","2,161,014,000","2,465,073,000","1,532,629,000","32,980,118.837","63,703,803.788","1,545,117.5"
				CashEquivalents,,,"2,462,562,000","1,230,028,000",,,
			OtherShortTermInvestments,"803,270,000","1,162,820,000","1,005,957,000","3,000,175,000",,,
		Receivables,"2,863,899,000","5,423,896,000","4,381,867,000","2,321,715,000",,,
			AccountsReceivable,"2,256,524,000","4,830,072,000","3,937,580,000","1,928,346,000",,,
			AccruedInterestReceivable,"5,702,000","4,046,000","6,953,000","37,051,000",,,
			TaxesReceivable,"486,261,000","495,583,000","358,115,000","312,363,000",,,
			DuefromRelatedPartiesCurrent,"11,801,000","4,280,000","56,979,000","19,433,000",,,
			OtherReceivables,"103,611,000","89,915,000","22,240,000","24,522,000",,,
		Inventory,"2,490,000","3,807,000","23,175,000","14,222,000",,,
		PrepaidAssets,"1,024,261,000","920,452,000","974,486,000","749,468,000","3,442,353.635","4,194,736.783","0"
		RestrictedCash,,"1,005,985,000","1,005,957,000","3,000,175,000",,,
		CurrentDeferredAssets,,,"36,222,000",,,,
			CurrentDeferredTaxesAssets,,,"36,222,000",,,,
		OtherCurrentAssets,"43,626,000","47,865,000","1,005,957,000","85,000","0","0","0"
	TotalNonCurrentAssets,"2,655,274,000","2,832,043,000","2,766,229,000","1,956,139,000","14,145,695,582.019","13,491,285,414.004","0"
		NetPPE,"600,985,000","155,434,000","241,694,000","141,646,000",,,
			GrossPPE,"994,167,000","642,733,000","630,919,000","447,358,000",,,
				Properties,"0","0","0","0",,,
				BuildingsAndImprovements,"521,534,000",,,,,,
				MachineryFurnitureEquipment,"470,483,000","585,817,000","565,818,000","402,898,000",,,
				OtherProperties,,,,"256,706,000",,,
				Leases,"2,150,000","56,916,000","65,101,000","44,460,000",,,
			AccumulatedDepreciation,"-393,182,000","-487,299,000","-389,225,000","-305,712,000",,,
		GoodwillAndOtherIntangibleAssets,"1,702,693,000","2,236,481,000","2,225,263,000","1,609,103,000",,,
			Goodwill,"793,100,000","1,015,099,000","961,186,000","653,666,000",,,
			OtherIntangibleAssets,"909,593,000","1,221,382,000","1,264,077,000","955,437,000",,,
		InvestmentsAndAdvances,"800,000","54,245,000","6,187,000","39,504,000","14,145,695,582.019","13,491,285,414.004","0"
			InvestmentinFinancialAssets,,"30,697,000","6,187,000","11,818,000","14,145,695,582.019","13,491,285,414.004","0"
				AvailableForSaleSecurities,,"30,697,000","6,187,000","11,818,000",,,
				HeldToMaturitySecurities,,,,,"14,145,695,582.019","13,491,285,414.004","0"
			OtherInvestments,"800,000","23,548,000","6,187,000","27,686,000",,,
		NonCurrentAccountsReceivable,,"275,000","411,000","631,000",,,
		NonCurrentDeferredAssets,"93,831,000","123,169,000","102,649,000","35,874,000",,,
			NonCurrentDeferredTaxesAssets,"93,831,000","123,169,000","102,649,000","35,874,000",,,
		NonCurrentPrepaidAssets,"31,449,000","31,883,000","65,251,000","58,795,000",,,
		DefinedPensionBenefit,"1,898,000","6,339,000","7,835,000",,,,
		OtherNonCurrentAssets,"223,618,000","224,217,000","116,939,000","70,586,000","0","13,491,285,414.004",
TotalLiabilitiesNetMinorityInterest,"7,247,216,000","10,172,727,000","11,842,066,000","6,384,864,000","508,844,601.335","484,315,782.596","0"
	CurrentLiabilities,"6,407,302,000","9,921,902,000","10,758,804,000","5,831,475,000","13,415,757.635","11,820,545.171","0"
		PayablesAndAccruedExpenses,"2,983,648,000","5,454,679,000","5,256,988,000","3,278,378,000","13,415,757.635","11,820,545.171","0"
			Payables,"2,983,648,000","5,451,524,000","4,867,461,000","2,814,299,000","11,986,236.395","11,469,055.005","0"
				AccountsPayable,"2,859,370,000","5,264,949,000","3,977,674,000","2,250,935,000",,,
				TotalTaxPayable,"204,000","4,080,000","2,755,000","14,563,000","11,968,084.8","11,414,077.2","0"
					IncomeTaxPayable,"204,000","4,080,000","2,755,000",,,,
				DuetoRelatedPartiesCurrent,"124,074,000","182,495,000","213,723,000","120,852,000","18,151.595","54,977.805",
				OtherPayable,,,"673,309,000","427,949,000","0","54,977.805",
			CurrentAccruedExpenses,"0","3,155,000","389,527,000","464,079,000","1,429,521.24","351,490.166","0"
				InterestPayable,"0","3,155,000","7,647,000",,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"79,396,000","97,156,000","81,311,000","49,147,000",,,
		CurrentDebtAndCapitalLeaseObligation,"1,039,498,000","1,151,818,000","491,860,000","13,974,000",,,
			CurrentDebt,"978,231,000","1,148,747,000","486,940,000","9,430,000",,,
				LineOfCredit,"971,044,000","797,343,000",,,,,
				OtherCurrentBorrowings,"7,187,000","351,404,000","486,940,000","9,430,000",,,
			CurrentCapitalLeaseObligation,"61,267,000","3,071,000","4,920,000","4,544,000",,,
		CurrentDeferredLiabilities,"900,520,000","1,281,763,000","1,765,585,000","1,020,273,000",,,
			CurrentDeferredRevenue,"900,520,000","1,281,763,000","1,765,585,000","1,020,273,000",,,
		OtherCurrentLiabilities,"1,404,240,000","1,936,486,000","3,163,060,000","1,469,703,000","0","0",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"839,914,000","250,825,000","1,083,262,000","553,389,000","495,428,843.7","472,495,237.425","0"
		LongTermDebtAndCapitalLeaseObligation,"485,587,000","24,587,000","359,969,000","30,902,000",,,
			LongTermDebt,"7,226,000","23,555,000","355,977,000","22,595,000",,,
			LongTermCapitalLeaseObligation,"478,361,000","1,032,000","3,992,000","8,307,000",,,
		NonCurrentDeferredLiabilities,"269,714,000","138,895,000","644,072,000","458,703,000","495,428,843.7","472,495,237.425","0"
			NonCurrentDeferredTaxesLiabilities,"37,645,000","42,503,000","44,460,000",,,,
			NonCurrentDeferredRevenue,"232,069,000","96,392,000","599,612,000","458,703,000",,,
		TradeandOtherPayablesNonCurrent,"27,774,000","3,097,000",,"0",,,
		EmployeeBenefits,"56,837,000","81,849,000","73,322,000","55,207,000",,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,"55,207,000",,,
		DerivativeProductLiabilities,"2,000","94,000","84,000","2,066,000","495,428,843.7","472,495,237.425","0"
		RestrictedCommonStock,,,,,"13,340,826,320.709","12,757,810,218.332","0"
		OtherNonCurrentLiabilities,,"2,303,000","5,815,000","6,511,000","13,340,826,320.709","12,757,810,218.332",
TotalEquityGrossMinorityInterest,"1,510,974,000","2,379,170,000","-225,279,000","3,189,569,000","13,673,273,453.156","13,074,868,171.978","1,545,117.5"
	StockholdersEquity,"1,491,941,000","2,359,749,000","-224,918,000","3,137,487,000","13,673,273,453.156","13,074,868,171.978","1,545,117.5"
		CapitalStock,"714,000","713,000","638,000","633,000","13,340,869,738.261","12,757,851,309.01","32,880.1"
			PreferredStock,,,,"0",,"0","0"
			CommonStock,"714,000","713,000","638,000","633,000","13,340,869,738.261","12,757,851,309.01","32,880.1"
			OtherCapitalStock,,,,"0","0","0","0"
		AdditionalPaidInCapital,"18,889,154,000","18,884,105,000","14,962,615,000","14,438,936,000","393,244,338.337","340,504,877.853","1,512,237.4"
		RetainedEarnings,"-18,053,916,000","-17,256,409,000","-16,002,266,000","-12,003,430,000","-60,840,623.442","-23,488,014.885","0"
		TreasuryStock,"11,219,000","11,219,000","30,084,000","54,371,000",,,
		GainsLossesNotAffectingRetainedEarnings,"667,208,000","742,559,000","844,179,000","755,719,000",,,
			ForeignCurrencyTranslationAdjustments,"-22,087,000","6,571,000","11,215,000","22,271,000",,,
			OtherEquityAdjustments,"689,295,000","735,988,000","832,964,000","733,448,000",,,
	MinorityInterest,"19,033,000","19,421,000","-361,000","52,082,000",,,
TotalCapitalization,"1,499,167,000","2,383,304,000","131,059,000","3,160,082,000","13,673,273,453.156","13,074,868,171.978","1,545,117.5"
CommonStockEquity,"1,491,941,000","2,359,749,000","-224,918,000","3,137,487,000","13,673,273,453.156","13,074,868,171.978","1,545,117.5"
CapitalLeaseObligations,"539,628,000","4,103,000","8,912,000","12,851,000",,,
NetTangibleAssets,"-210,752,000","123,268,000","-2,450,181,000","1,528,384,000","13,673,273,453.156","13,074,868,171.978","1,545,117.5"
WorkingCapital,"-304,386,000","-202,048,000","-1,908,246,000","1,786,819,000","23,006,714.837","56,077,995.399","1,545,117.5"
InvestedCapital,"2,477,398,000","3,532,051,000","617,999,000","3,169,512,000","13,673,273,453.156","13,074,868,171.978","1,545,117.5"
TangibleBookValue,"-210,752,000","123,268,000","-2,450,181,000","1,528,384,000","13,673,273,453.156","13,074,868,171.978","1,545,117.5"
TotalDebt,"1,525,085,000","1,176,405,000","851,829,000","44,876,000",,,
ShareIssued,"45,641,629","45,614,371","34,656,816","33,828,854","26,593,750","26,593,750","5,318,750"
OrdinarySharesNumber,"45,622,737","45,614,371","34,628,916","33,828,854","26,593,750","26,593,750","5,318,750"
TreasurySharesNumber,"18,892","999","27,900",,,,
