name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
			OtherIntangibleAssets,"1,515,000,000","1,804,000,000","1,992,000,000","2,308,536,000","2,446,652,000","2,793,954,000","1,290,087,000","1,111,041,000","821,419,000","743,898,000","797,707,000","823,031,000","833,419,000","970,757,000","1,028,774,000","7,036,233,000","1,279,361,000","1,323,026,000",,
		InvestmentsAndAdvances,"671,000,000","796,000,000","778,000,000","845,450,000","520,058,000","658,439,000","286,882,000","250,626,000","224,231,000","289,348,000","232,239,000","48,262,000","75,593,000",,,,"140,432,000","26,142,000",,
		NonCurrentDeferredAssets,"659,000,000","145,000,000","69,000,000","17,930,000","23,658,000","15,458,000","10,053,000","14,151,000",,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"659,000,000","145,000,000","69,000,000","17,930,000","23,658,000","15,458,000","10,053,000","14,151,000",,,,,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,,,,,,"93,182,000","59,289,000","39,431,000",,,,
TotalLiabilitiesNetMinorityInterest,"14,664,000,000","15,880,000,000","12,382,000,000","12,387,060,000","10,084,443,000","10,574,045,000","7,126,809,000","5,480,496,000","4,695,807,000","4,200,091,000","3,914,291,000","3,187,430,000","3,512,918,000","3,415,406,000","2,303,138,000","1,951,355,000","1,366,123,000","1,200,969,000","3,203,082,000","101,946,000"
	CurrentLiabilities,"5,406,000,000","10,714,000,000","8,060,000,000","7,878,690,000","6,127,198,000","5,926,017,000","4,186,615,000","3,294,381,000","2,982,311,000","2,553,357,000","1,889,420,000","1,835,057,000","1,566,168,000","1,774,352,000","1,400,125,000","1,438,225,000","982,179,000","825,324,000",,
		PayablesAndAccruedExpenses,"2,127,000,000","3,965,000,000","3,369,000,000","3,833,689,000","3,226,890,000","3,353,171,000","2,363,151,000","1,904,316,000","1,827,605,000","1,284,694,000","1,205,322,000","1,138,548,000","1,026,831,000","1,140,989,000","720,737,000","642,821,000","528,826,000","441,199,000",,
			Payables,"1,148,000,000","2,915,000,000","2,561,000,000","2,568,870,000","2,136,064,000","1,883,446,000","1,609,526,000","1,367,421,000","1,237,100,000","951,457,000","882,495,000","813,364,000","775,593,000","852,277,000","720,737,000","642,821,000","528,826,000","441,199,000",,
				AccountsPayable,"602,000,000","1,921,000,000","1,699,000,000","1,837,936,000","1,509,313,000","1,329,870,000","1,188,483,000","1,044,259,000","954,071,000","951,457,000","882,495,000","813,364,000","775,593,000","852,277,000","720,737,000","642,821,000","528,405,000","433,753,000",,
				TotalTaxPayable,"50,000,000","88,000,000","74,000,000","33,374,000","49,739,000","68,019,000","59,661,000","61,874,000",,,,,,,,,"421,000","7,446,000",,
					IncomeTaxPayable,"50,000,000","88,000,000","74,000,000","33,374,000","49,739,000","68,019,000","59,661,000","61,874,000",,,,,,,,,"421,000","7,446,000",,
				OtherPayable,"496,000,000","906,000,000","788,000,000","697,560,000","577,012,000","485,557,000","361,382,000","261,288,000","283,029,000",,,,,,,,,,,
