name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
			CurrentDeferredRevenue,"2,600,000","76,900,000","3,200,000",,
		OtherCurrentLiabilities,"6,200,000","68,800,000","35,100,000",,"44,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,038,300,000","1,736,200,000","1,260,900,000","158,300,000","0"
		LongTermDebtAndCapitalLeaseObligation,"1,906,200,000","1,709,800,000","1,175,700,000","87,000,000",
			LongTermDebt,"1,906,200,000","1,709,800,000","1,175,700,000","87,000,000",
		NonCurrentDeferredLiabilities,"71,300,000","0","78,300,000","71,300,000",
			NonCurrentDeferredRevenue,"71,300,000","0","78,300,000","71,300,000",
		NonCurrentAccruedExpenses,"41,100,000",,,,
		OtherNonCurrentLiabilities,"19,700,000","26,400,000","6,900,000","71,300,000",
TotalEquityGrossMinorityInterest,"1,036,800,000","1,294,100,000","1,533,500,000","1,492,900,000","157,844,000"
	StockholdersEquity,"1,036,800,000","1,293,900,000","1,531,800,000","1,490,900,000","157,844,000"
		CapitalStock,"11,000,000","5,600,000","5,300,000","4,800,000","775,000"
			CommonStock,"11,000,000","5,600,000","5,300,000","4,800,000","775,000"
		RetainedEarnings,"-895,200,000","-576,700,000","-279,200,000","-88,800,000","-755,000"
		AdditionalPaidInCapital,"1,947,200,000","1,891,200,000","1,837,500,000","1,587,800,000","157,824,000"
		TreasuryStock,"26,200,000","26,200,000","26,200,000","6,700,000",
		GainsLossesNotAffectingRetainedEarnings,,"0","-5,600,000","-6,200,000",
			OtherEquityAdjustments,,,"-5,600,000","-6,200,000",
	MinorityInterest,"0","200,000","1,700,000","2,000,000",
TotalCapitalization,"2,943,000,000","3,003,700,000","2,707,500,000","1,577,900,000","157,844,000"
CommonStockEquity,"1,036,800,000","1,293,900,000","1,531,800,000","1,490,900,000","157,844,000"
CapitalLeaseObligations,"3,100,000","3,400,000",,,
NetTangibleAssets,"1,036,800,000","1,293,900,000","1,531,800,000","1,490,900,000","157,844,000"
WorkingCapital,"44,800,000","28,200,000","89,300,000","204,400,000","137,875,000"
InvestedCapital,"2,943,000,000","3,003,700,000","2,707,500,000","1,577,900,000","157,844,000"
TangibleBookValue,"1,036,800,000","1,293,900,000","1,531,800,000","1,490,900,000","157,844,000"
TotalDebt,"1,909,300,000","1,713,200,000","1,175,700,000","87,000,000",
NetDebt,"1,887,000,000","1,650,700,000","1,147,800,000",,
ShareIssued,"220,318,704","115,317,207","107,912,341","97,843,119","64,463,409"
OrdinarySharesNumber,"218,858,990","113,817,982","107,912,341","97,843,119","64,463,409"
TreasurySharesNumber,"1,459,714","1,499,225",,,
