name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"216,540,734","277,253,385","264,180,282","246,236,538","248,494,344","293,426,429","394,922,598","350,377,267","264,522,677","220,200,935","177,383,630","114,784,583","133,934,509","85,352,611","78,468,049","68,631,949","52,553,952","42,489,271","42,103,003"
	CurrentAssets,"102,156,375","137,619,927","138,243,322","97,036,833","81,455,766","91,829,177","162,219,028","136,261,972","106,265,925","90,752,354","73,179,783","43,102,662","61,487,194","36,782,112","34,383,564","29,660,116","19,826,259","20,553,350","17,813,975"
		CashCashEquivalentsAndShortTermInvestments,"25,745,911","10,582,296","3,643,418","4,122,539","7,007,293","9,007,808","3,018,445","5,663,880","4,329,969","8,376,344","8,625,532","2,488,970","12,621,811","3,008,797","1,763,191","3,964,950","5,933,924","7,547,533","7,855,624"
			CashAndCashEquivalents,"25,745,911","10,582,296","3,643,418","4,122,539","7,007,293","9,007,808","3,018,445","5,663,880","4,329,969","8,376,344","8,625,532","2,488,970","12,621,811","3,008,797","1,763,191","3,964,950","5,933,924","7,547,533","7,855,624"
		Receivables,"43,412,710","93,641,885","104,613,680","67,988,933","46,846,285","49,691,091","122,272,125","97,660,559","67,189,884","63,209,860","50,612,370","31,505,996","41,096,467","29,943,706","30,355,422","24,481,382","12,572,297","11,352,987","9,050,184"
			AccountsReceivable,"43,193,310","93,641,885","103,987,716","66,635,311","41,552,796","44,694,812","122,272,125","97,660,559","67,189,884","63,209,860","50,314,306","28,660,353","40,773,509","29,943,706","30,355,422","24,481,382","12,307,097","9,406,962","8,261,384"
				GrossAccountsReceivable,"44,493,310","94,441,885",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,300,000","-800,000",,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,"0","1,944,750","788,800"
			TaxesReceivable,"219,400","0","625,964","1,353,622","5,293,489","4,996,279",,,,"0","298,064","2,845,643","322,958",,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"265,200","1,275",
		Inventory,"26,665,902","30,826,700","27,558,003","22,009,483","24,988,472","30,261,260","32,423,158","30,024,019","21,833,051","15,445,543","9,895,473","7,022,053","6,680,448","3,254,756","1,189,254","725,538","871,316","614,938","585,090"
		PrepaidAssets,"1,926,336","2,569,046","2,428,221","2,915,878","2,613,716","2,869,018","4,505,300","2,913,514","3,476,559","3,720,607","4,046,408","2,085,643","1,088,468","574,853","1,075,697","488,246","448,722","278,892","323,077"
		AssetsHeldForSaleCurrent,"4,405,516",,,,,,,"0","9,436,462",,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"759,000",
	TotalNonCurrentAssets,"114,384,359","139,633,458","125,936,960","149,199,705","167,038,578","201,597,252","232,703,570","214,115,295","158,256,752","129,448,581","104,203,847","71,681,921","72,447,315","48,570,499","44,084,485","38,971,833","32,727,693","21,935,921","24,289,028"
		NetPPE,"97,889,908","111,241,964","94,165,000","98,570,000","121,172,000","166,114,000","190,892,000","165,772,000","144,370,000","120,452,022","93,038,754","62,805,570","63,570,964","39,694,148","35,208,134","29,807,982","22,163,871","16,894,690","16,600,297"
			GrossPPE,"344,988,908","357,095,964","334,003,000","306,149,000","307,848,000","316,553,000","296,995,000","254,942,000","214,189,000","172,943,022","135,966,018","102,387,512","96,442,008","64,516,672","56,814,140","45,864,744","22,163,871","16,894,690","16,600,297"
				Properties,,,"0","0","0","0","0","0","0","0","0","365,938",,,,,,,
				LandAndImprovements,,,"178,000","164,000","175,000","181,000","152,000","139,000","130,000","133,000","129,580",,,,,,,,
				BuildingsAndImprovements,,,"3,413,000","3,138,000","3,359,000","3,463,000","2,660,000","2,417,000","1,079,000","1,092,000","1,012,007",,,,,,,,
				MachineryFurnitureEquipment,"36,176,000","38,201,000","37,080,000","35,483,000","36,018,000","34,881,000","30,940,000","21,077,000","13,902,000","168,645,000","132,860,406","100,762,544","96,442,008","64,516,672","56,814,140","45,864,744",,,
				OtherProperties,"305,029,908","315,103,964","289,541,000","263,573,000","264,505,000","274,249,000","259,559,000","227,606,000","195,534,000","3,073,022","1,964,025","1,259,030","96,442,008",,,,,,
