name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,"340,000,000",,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"550,000,000","616,000,000","373,000,000","250,000,000","724,000,000","1,093,000,000","1,033,000,000","323,000,000","1,367,000,000","2,039,000,000","2,012,000,000","1,868,000,000","664,000,000","6,172,000,000","95,000,000","400,000,000","19,400,000","45,800,000","1,048,100,000","484,400,000","23,120,000","78,584,000","18,700,000","457,700,000","28,013,000","237,700,000",,,
			CurrentDebt,"505,000,000","568,000,000","341,000,000","220,000,000","699,000,000","1,070,000,000","1,012,000,000","303,000,000","1,347,000,000","2,039,000,000","2,012,000,000","1,868,000,000","664,000,000","6,172,000,000","95,000,000","400,000,000","19,400,000","45,800,000","1,048,100,000","484,400,000","23,120,000","78,584,000","18,700,000","457,700,000","28,013,000","237,700,000",,,
				OtherCurrentBorrowings,"505,000,000","568,000,000","341,000,000","220,000,000","699,000,000","1,070,000,000","1,012,000,000","303,000,000","1,347,000,000",,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"45,000,000","48,000,000","32,000,000","30,000,000","25,000,000","23,000,000","21,000,000","20,000,000","20,000,000",,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"133,000,000","100,000,000","87,000,000","213,000,000","209,000,000","202,000,000","237,000,000","216,000,000","235,000,000","197,000,000",,,"130,000,000","128,000,000","144,000,000",,,,,,,,,,,,,,
			CurrentDeferredRevenue,"133,000,000","100,000,000","87,000,000","213,000,000","209,000,000","202,000,000","237,000,000","216,000,000","235,000,000","197,000,000",,,"130,000,000","128,000,000","144,000,000",,,,,,,,,,,,,,
		OtherCurrentLiabilities,"63,000,000","184,000,000","224,000,000","256,000,000","329,000,000","355,000,000","753,000,000","970,000,000","2,005,000,000","1,276,000,000","861,000,000","730,000,000","101,000,000","89,000,000","21,000,000","242,100,000","213,000,000","262,000,000","321,700,000","283,400,000","336,521,000","320,689,000","132,800,000","222,400,000","136,433,000","104,700,000","28,100,000","37,500,000","42,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"8,983,000,000","10,514,000,000","11,093,000,000","8,330,000,000","9,099,000,000","8,852,000,000","10,661,000,000","12,307,000,000","13,062,000,000","13,923,000,000","11,575,000,000","12,259,000,000","15,943,000,000","13,891,000,000","3,597,000,000","1,548,300,000","2,931,400,000","3,958,900,000","4,019,800,000","4,965,100,000","1,859,459,000","1,701,510,000","1,079,900,000","1,546,000,000","584,027,000","1,388,600,000","123,900,000","92,300,000","257,800,000"
		LongTermDebtAndCapitalLeaseObligation,"7,823,000,000","9,253,000,000","9,605,000,000","7,146,000,000","7,740,000,000","7,397,000,000","9,059,000,000","10,379,000,000","11,092,000,000","11,497,000,000","9,209,000,000","9,849,000,000","13,522,000,000","11,085,000,000","3,200,000,000","1,197,100,000","2,462,100,000","3,612,300,000","3,629,900,000","4,539,400,000","1,430,266,000","1,187,578,000","814,000,000","1,042,700,000","392,322,000","770,300,000","30,000,000",,"178,500,000"
			LongTermDebt,"7,302,000,000","8,693,000,000","9,126,000,000","6,635,000,000","7,199,000,000","6,829,000,000","8,465,000,000","9,762,000,000","10,455,000,000","11,497,000,000","9,209,000,000","9,849,000,000","13,522,000,000","11,085,000,000","3,200,000,000","1,197,100,000","2,462,100,000","3,612,300,000","3,629,900,000","4,539,400,000","1,430,266,000","1,187,578,000","814,000,000","1,042,700,000","392,322,000","770,300,000","30,000,000",,"178,500,000"
			LongTermCapitalLeaseObligation,"521,000,000","560,000,000","479,000,000","511,000,000","541,000,000","568,000,000","594,000,000","617,000,000","637,000,000",,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"638,000,000","695,000,000","463,000,000","466,000,000","568,000,000","517,000,000","470,000,000","533,000,000","612,000,000","523,000,000","594,000,000","726,000,000","666,000,000","681,000,000","54,000,000","65,000,000","124,100,000","42,800,000","107,200,000","317,100,000","359,175,000","383,991,000","230,000,000","344,600,000","151,980,000","213,100,000","71,600,000","69,500,000","62,200,000"
			NonCurrentDeferredTaxesLiabilities,"315,000,000","266,000,000","64,000,000","44,000,000","178,000,000","339,000,000","237,000,000","374,000,000","366,000,000","523,000,000","594,000,000","726,000,000","666,000,000","681,000,000","54,000,000","65,000,000","124,100,000","42,800,000","107,200,000","317,100,000","359,175,000","383,991,000","230,000,000","344,600,000","151,980,000","213,100,000","71,600,000","69,500,000","62,200,000"
			NonCurrentDeferredRevenue,"323,000,000","429,000,000","399,000,000","422,000,000","390,000,000","178,000,000","233,000,000","159,000,000","246,000,000",,,,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"202,000,000","179,000,000","476,000,000","247,000,000","333,000,000","401,000,000","383,000,000","502,000,000","584,000,000",,,,,,,,,,,,,,,,,,,,
		EmployeeBenefits,"272,000,000","346,000,000","355,000,000","353,000,000","370,000,000","399,000,000","515,000,000","388,000,000","612,000,000",,,,,,,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"272,000,000","346,000,000","355,000,000","353,000,000","370,000,000","379,000,000","459,000,000","339,000,000","558,000,000",,,,,,,,,,,,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,,,"0","58,000,000","28,000,000","8,000,000","11,000,000",,"0",,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"48,000,000","41,000,000","194,000,000","60,000,000","60,000,000","130,000,000","223,000,000","505,000,000","162,000,000","1,903,000,000","1,772,000,000","1,684,000,000","1,755,000,000","2,125,000,000","343,000,000","286,200,000","345,200,000","303,800,000","282,700,000","108,600,000","70,018,000","129,941,000","35,900,000","158,700,000","39,725,000","405,200,000","22,300,000","22,800,000","17,100,000"
TotalEquityGrossMinorityInterest,"11,435,000,000","11,867,000,000","13,114,000,000","12,711,000,000","15,805,000,000","14,808,000,000","13,982,000,000","16,685,000,000","15,730,000,000","15,807,000,000","21,400,000,000","20,559,000,000","16,527,000,000","12,571,000,000","6,840,000,000","7,985,300,000","7,396,600,000","7,192,600,000","7,141,400,000","10,910,300,000","4,004,107,000","3,910,139,000","1,978,600,000","1,635,400,000","1,627,709,000","1,482,700,000","321,100,000","314,300,000","108,500,000"
	StockholdersEquity,"11,432,000,000","11,862,000,000","13,107,000,000","12,707,000,000","15,802,000,000","14,498,000,000","13,671,000,000","16,691,000,000","15,745,000,000","15,701,000,000","21,383,000,000","20,552,000,000","16,524,000,000","12,566,000,000","6,836,000,000","7,981,700,000","7,392,600,000","7,192,600,000","7,141,400,000","10,910,300,000","4,004,107,000","3,910,139,000","1,978,600,000","1,635,400,000","1,627,709,000","1,482,700,000","321,100,000","314,300,000","108,500,000"
		CapitalStock,"60,000,000","59,000,000","59,000,000","37,000,000","36,000,000","5,193,000,000","5,169,000,000","5,147,000,000","5,130,000,000","4,982,000,000","4,482,000,000","4,472,000,000","4,444,000,000","3,000,000","3,000,000","3,200,000","3,200,000","3,200,000","3,200,000","3,200,000","2,107,000","2,101,000",,"122,000,000","515,000","127,000,000","300,000",,
			CommonStock,"60,000,000","59,000,000","59,000,000","37,000,000","36,000,000","5,193,000,000","5,169,000,000","5,147,000,000","5,130,000,000","4,982,000,000","4,482,000,000","4,472,000,000","4,444,000,000","3,000,000","3,000,000","3,200,000","3,200,000","3,200,000","3,200,000","3,200,000","2,107,000","2,101,000",,"122,000,000","515,000","127,000,000","300,000",,
