name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
"	DepreciationAmortizationDepletionIncomeStatement",,,,,,,,"8,000,000","6,000,000","6,000,000",,,,,,,,,,,,"191,106,000","190,900,000","170,000,000","90,100,000","71,000,000","39,300,000","31,700,000","32,400,000","33,900,000","31,800,000","33,600,000","32,300,000"
"		DepreciationAndAmortizationInIncomeStatement",,,,,,,,"8,000,000","6,000,000",,,,,,,,,,,,,"191,106,000","190,900,000","170,000,000","90,100,000","71,000,000","39,300,000","31,700,000","32,400,000","33,900,000","31,800,000","33,600,000","32,300,000"
"	OtherTaxes","204,000,000","292,000,000","250,000,000","151,000,000","124,000,000","310,000,000","257,000,000","194,000,000","180,000,000","147,000,000","76,500,000","29,000,000","543,400,000","135,400,000","66,500,000","137,200,000","92,600,000","57,000,000","68,000,000","70,000,000","77,200,000","77,085,000","80,100,000","70,300,000","40,200,000","43,400,000","32,400,000","18,900,000","19,200,000","18,600,000","17,200,000","19,500,000",
"	OtherOperatingExpenses","33,000,000","54,000,000","51,000,000","20,000,000","17,000,000","39,000,000","18,000,000","13,000,000","12,000,000",,"16,800,000","-378,800,000","-459,500,000","-55,300,000","-98,400,000","-49,300,000","-59,700,000","-33,200,000","-25,000,000","-40,200,000",,,,,,,,,,,,,
OperatingIncome,"1,691,000,000","2,082,000,000","2,215,000,000","290,000,000","477,000,000","1,681,000,000","2,127,000,000","2,352,000,000","2,999,000,000","3,922,000,000","2,303,600,000","1,192,200,000","8,716,900,000","1,588,500,000","875,500,000","892,600,000","517,900,000","260,500,000","166,900,000","269,700,000","294,600,000","214,892,000","413,300,000","415,100,000","292,900,000","207,600,000","86,500,000","60,300,000","46,400,000","43,900,000","30,300,000","76,300,000","114,400,000"
NetNonOperatingInterestIncomeExpense,"-487,000,000","-500,000,000","-487,000,000","-221,000,000","-202,000,000","-179,000,000","-169,000,000","-131,000,000","-102,000,000","-159,000,000","-99,100,000","-120,900,000","-62,800,000",,,,,,,,,,,,,,,,,,,,
"	InterestIncomeNonOperating","1,000,000","5,000,000","17,000,000","2,000,000","3,000,000","2,000,000","1,000,000","3,000,000","4,000,000",,"7,700,000","10,500,000","17,700,000",,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","488,000,000","505,000,000","504,000,000","223,000,000","205,000,000","181,000,000","170,000,000","134,000,000","106,000,000","159,000,000","106,800,000","131,400,000","80,500,000",,,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,"54,000,000","51,000,000","17,000,000","14,000,000","13,000,000","15,000,000","13,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-822,000,000","-274,000,000","-1,852,000,000","-98,000,000","91,000,000","219,000,000","206,000,000","251,000,000","8,000,000","384,000,000",,,,"55,300,000","98,400,000","49,300,000","-290,500,000","-599,000,000","25,000,000","40,200,000","7,900,000","-1,157,110,000","32,800,000","32,400,000","6,600,000","16,600,000","12,000,000",,"10,100,000","4,700,000","10,400,000","7,200,000","2,500,000"
