name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
WorkingCapital,"1,546,600,000","1,350,900,000","1,036,800,000","1,443,300,000","1,411,000,000","1,518,600,000","1,024,000,000","958,300,000","1,046,400,000","949,500,000","682,800,000","778,500,000","673,700,000","442,700,000","365,300,000","408,000,000","252,600,000","282,200,000","301,100,000","-258,900,000","-70,100,000","-159,500,000","269,800,000","251,100,000","171,700,000","12,200,000","107,400,000","3,700,000","-1,100,000","-13,200,000","40,600,000","117,600,000","227,900,000","-93,700,000","-37,700,000"
InvestedCapital,"6,229,600,000","5,791,100,000","5,847,800,000","5,867,400,000","3,850,700,000","4,014,600,000","3,209,100,000","3,371,700,000","2,445,400,000","2,066,200,000","1,769,400,000","1,720,300,000","1,526,500,000","1,609,500,000","1,649,200,000","1,679,500,000","1,799,400,000","1,638,500,000","1,691,200,000","1,142,300,000","1,849,100,000","2,047,500,000","2,211,100,000","2,101,200,000","2,690,200,000","2,399,400,000","1,755,200,000","1,085,800,000","1,125,800,000","1,301,900,000","1,407,800,000","1,356,100,000","1,318,700,000","1,140,900,000","1,353,700,000"
TangibleBookValue,"-1,290,300,000","-1,681,200,000","-1,114,500,000","-1,175,500,000","352,000,000","216,100,000","897,700,000","825,600,000","937,400,000","827,400,000","937,100,000","866,900,000","705,900,000","884,100,000","855,900,000","810,700,000","706,400,000","432,000,000","276,300,000","102,500,000","305,800,000","237,900,000","330,300,000","340,200,000","357,000,000","307,800,000","416,500,000","125,200,000","155,800,000","284,000,000","79,400,000","-131,200,000","-297,700,000","-423,700,000","-611,400,000"
TotalDebt,"3,444,500,000","3,453,500,000","2,744,000,000","3,208,100,000","1,921,000,000","2,183,200,000","1,712,200,000","1,884,300,000","996,900,000","825,600,000","637,900,000","643,900,000","623,600,000","545,200,000","629,700,000","720,200,000","923,200,000","1,050,200,000","1,285,200,000","923,500,000","1,048,700,000","1,303,900,000","1,481,700,000","1,340,600,000","1,834,400,000","1,746,000,000","1,338,700,000","868,900,000","906,800,000","992,100,000","1,258,200,000","1,426,700,000","1,542,300,000","1,484,100,000","1,860,300,000"
NetDebt,"2,698,900,000","2,919,700,000","2,565,000,000","2,902,600,000","1,828,800,000","2,070,300,000","1,569,100,000","1,728,700,000","888,000,000","666,700,000","476,400,000","567,300,000","571,200,000","469,700,000","464,200,000","513,800,000","710,800,000","993,200,000","1,195,600,000","900,100,000","1,023,600,000","1,239,900,000","1,420,000,000","1,277,900,000","1,759,600,000","1,675,100,000","1,240,300,000","791,400,000","882,500,000","947,900,000","1,165,200,000","1,332,200,000","1,411,500,000","1,299,500,000","1,676,100,000"
ShareIssued,"185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","185,983,792","150,258,802","153,270,116","154,062,648","148,115,760","141,045,600","140,288,172","125,221,188","122,578,560","121,422,568","130,812,000","139,696,000","148,720,000","147,365,640","146,175,340","144,724,000","143,492,000","141,080,000","139,052,000","137,996,000","137,020,000","180,696,000","180,144,000"
OrdinarySharesNumber,"129,353,583","129,124,294","132,281,614","134,330,556","133,690,106","133,655,777","133,317,671","132,885,689","137,670,378","139,674,316","142,971,688","145,037,760","145,019,918","150,258,802","153,270,116","154,062,648","148,115,760","141,045,600","140,288,172","125,221,188","122,578,560","121,422,568","130,812,000","139,696,000","148,720,000","147,365,640","146,175,340","144,724,000","143,492,000","141,080,000","139,052,000","137,996,000","137,020,000","180,696,000","180,144,000"
TreasurySharesNumber,"56,630,209","56,859,498","53,702,178","51,653,236","52,293,686","52,328,015","52,666,121","53,098,103","48,313,414","46,309,476","43,012,104","40,946,032","40,963,874",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA,0.054140815,0.048355566,0.050339372,0.058199277,0.034059258,0.077301254,0.057578878,0.056139211,0.095155353,0.097742754,0.051959396,0.072858874,0.101740205,0.048437843,0.048263254,0.042554745,0.053787268,0.00936793,0.022910864,-0.136323268,0.029525615,0.053205866,0.025561636,0.039483601,0.042226141,0.050126712,0.051738028,0.012903914,-0.026781292,0.061478903,0.0524804,0.055587088,0.047002328,0.073677315,0.056780103
Operating Margin,0.217466233,0.191743677,0.195080164,0.112763149,0.149890324,0.052525561,0.144091934,0.18083514,0.184216845,0.183457178,0.172961525,0.16541646,0.176644304,0.149227088,0.140051129,0.130173937,0.111544462,0.102321224,0.100868908,-0.067884714,0.095911349,0.091081594,0.083135392,0.074873626,0.093000827,0.079803982,0.078463149,0.015344042,0.077232806,0.083269221,0.082531836,0.088153463,0.085521312,0.085661495,0.08285876
Net Margin,0.217466233,0.191743677,0.195080164,0.112763149,0.149890324,0.052525561,0.144091934,0.18083514,0.184216845,0.183457178,0.172961525,0.16541646,0.176644304,0.149227088,0.140051129,0.130173937,0.111544462,0.102321224,0.100868908,-0.067884714,0.095911349,0.091081594,0.083135392,0.074873626,0.093000827,0.079803982,0.078463149,0.015344042,0.077232806,0.083269221,0.082531836,0.088153463,0.085521312,0.085661495,0.08285876
Return On Equity,0.186204335,0.188524266,0.160872769,0.199791185,0.106809011,0.262100016,0.200914734,0.193380708,0.281159224,0.294937933,0.152452497,0.21228168,0.337357404,0.124401015,0.129475233,0.121546961,0.182834969,0.045045045,0.162068966,-1.543418647,0.13818091,0.285906401,0.14601042,0.213515646,0.246202384,0.32996633,0.416326531,0.16735823,-0.3456621,0.558747579,1.038101604,-2.219546742,-0.577817531,-0.557109557,-0.301026451
Current Ratio,1.546694945,1.495943317,1.346361996,1.653254277,1.98108747,2.044932223,1.5360134,1.482357679,1.921613528,2.032177411,1.70873988,2.097715736,1.887498353,1.589166888,1.52,1.618838162,1.308011218,1.38790378,1.344271667,0.760100074,0.949924995,0.898794416,1.191090021,1.171457835,1.08494113,1.006805377,1.08464024,1.003200692,0.999021439,0.988935457,1.032358333,1.098459478,1.209332231,0.919467125,0.966897884
Quick ratio,1.15942029,1.122581593,0.979788869,1.204037295,1.491934362,1.494323264,1.202837102,1.135853425,1.326492866,1.520926188,1.347726801,1.603496898,1.385851666,1.223183391,1.207686833,1.291672987,1.042799659,1.123161512,1.139835353,0.568106004,0.645474677,0.608375635,0.824420993,0.813588255,0.671712674,0.66374742,0.766333044,0.771280277,0.714971978,0.683151718,0.676416673,0.726808439,0.819233949,0.56390202,0.59083326
