Date,average_price,return
2007-01-01,51686.055776892434,0.22590219743504178
2008-01-01,28202.940711462452,-0.4543414023851421
2009-01-01,21815.809523809523,-0.22647039728935156
2010-01-01,30012.095238095237,0.3757039455877345
2011-01-01,16595.619047619046,-0.4470356395992727
2012-01-01,5255.616,-0.6833130487678906
2013-01-01,3665.1428571428573,-0.30262354457729457
2014-01-01,2206.190476190476,-0.39806153206527395
2015-01-01,1236.126984126984,-0.43970069789193467
2016-01-01,362.5238095238095,-0.7067260773537418
2017-01-01,143.17609557497548,-0.6050574008834251
2018-01-01,60.97370521575806,-0.5741348793533162
2019-01-01,32.56031750118922,-0.4659941135941609
2020-01-01,6.154347815532458,-0.8109862468230637
