Date,average_price,return
2006-12-01,43687.2,0.09266389401020436
2007-01-01,40216.8,-0.07943745536450023
2007-02-01,42425.68421052631,0.05492441493421431
2007-03-01,41146.90909090909,-0.030141532032144473
2007-04-01,46262.4,0.12432260459197211
2007-05-01,58940.72727272727,0.27405251938350084
2007-06-01,53579.42857142857,-0.0909608508305504
2007-07-01,57896.0,0.08056396911394563
2007-08-01,54690.782608695656,-0.05536163795951956
2007-09-01,54908.21052631579,0.003975586145398483
2007-10-01,60571.82608695652,0.10314697030467493
2007-11-01,56986.28571428572,-0.05919485352023933
2007-12-01,50180.4,-0.11943023885446125
2008-01-01,47134.857142857145,-0.06069188083679796
2008-02-01,41752.8,-0.11418422520185241
2008-03-01,30031.2,-0.2807380582859114
2008-04-01,27365.454545454544,-0.0887658653182509
2008-05-01,26176.0,-0.04346555046176329
2008-06-01,26884.571428571428,0.02706950750960527
2008-07-01,27365.454545454544,0.017886954908719905
2008-08-01,28036.571428571428,0.024524236643032746
2008-09-01,24923.428571428572,-0.11103864340453279
2008-10-01,21360.0,-0.1429750550256787
2008-11-01,18193.263157894737,-0.1482554701360142
2008-12-01,20107.636363636364,0.10522429039404672
2009-01-01,24153.6,0.20121527777777767
2009-02-01,19672.42105263158,-0.18552840766463047
2009-03-01,15700.363636363636,-0.20190994314533553
2009-04-01,17763.428571428572,0.13140236639402852
2009-05-01,17204.4,-0.03147075854082221
2009-06-01,17635.636363636364,0.025065469509913885
2009-07-01,18685.090909090908,0.059507608561177705
2009-08-01,25269.714285714286,0.3523998576544117
2009-09-01,25644.571428571428,0.014834245398218019
2009-10-01,28333.090909090908,0.1048377621754332
2009-11-01,24994.8,-0.11782304019713537
2009-12-01,26669.454545454544,0.06700011784269308
2010-01-01,26439.157894736843,-0.008635221628743498
2010-02-01,23436.63157894737,-0.11356361377860588
2010-03-01,27408.0,0.1694513312493262
2010-04-01,31027.428571428572,0.13205737636560758
2010-05-01,34048.8,0.09737743563298838
2010-06-01,35534.181818181816,0.043625085705863736
2010-07-01,37123.42857142857,0.04472445042856128
2010-08-01,30653.454545454544,-0.1742827716875681
2010-09-01,26328.0,-0.14110822449197477
2010-10-01,32923.42857142857,0.25051004905152585
2010-11-01,27547.428571428572,-0.16328797556234378
2010-12-01,26998.909090909092,-0.019911821500769394
2011-01-01,23974.8,-0.11200856600266683
2011-02-01,21570.947368421053,-0.10026580541147145
2011-03-01,22095.652173913044,0.024324606450068856
2011-04-01,22867.2,0.03491853600944511
2011-05-01,18739.428571428572,-0.18051057534684736
2011-06-01,17307.272727272728,-0.07642473401453705
2011-07-01,16389.6,-0.053022376300031634
2011-08-01,13338.782608695652,-0.18614349290430193
2011-09-01,11493.714285714286,-0.13832359197297
2011-10-01,11110.857142857143,-0.0333101322461967
2011-11-01,9964.57142857143,-0.10316807241308368
2011-12-01,11161.142857142857,0.12008257827732527
2012-01-01,8954.4,-0.19771656768380094
2012-02-01,6841.2,-0.2359957116054677
2012-03-01,7238.181818181818,0.05802809714404172
2012-04-01,6878.4,-0.04970610399397139
2012-05-01,5083.636363636364,-0.26092748842225455
2012-06-01,5100.571428571428,0.0033312895973839273
2012-07-01,4728.0,-0.07304503697064753
2012-08-01,4234.434782608696,-0.1043919664533215
2012-09-01,3747.7894736842104,-0.11492568286166387
2012-10-01,3552.0,-0.05224132119986515
2012-11-01,2968.0,-0.16441441441441443
2012-12-01,3871.2,0.3043126684636118
2013-01-01,3736.0,-0.03492457119239508
2013-02-01,4456.421052631579,0.19283218753521927
2013-03-01,5467.2,0.226814058956916
2013-04-01,3747.2727272727275,-0.3145901508500279
2013-05-01,4610.181818181818,0.23027656477438124
2013-06-01,3697.2,-0.19803596781826788
2013-07-01,3570.5454545454545,-0.034256882358148145
2013-08-01,3432.0,-0.03880232202871982
2013-09-01,3030.0,-0.11713286713286714
2013-10-01,2919.6521739130435,-0.03641842445114076
2013-11-01,2242.8,-0.23182630450321653
2013-12-01,3174.8571428571427,0.41557746694183273
2014-01-01,3334.8571428571427,0.0503959683225342
2014-02-01,3243.7894736842104,-0.02730781717831245
2014-03-01,3315.4285714285716,0.022085002225189217
2014-04-01,2573.714285714286,-0.22371596001378835
2014-05-01,2338.285714285714,-0.09147424511545298
2014-06-01,2130.285714285714,-0.08895405669599218
2014-07-01,1704.0,-0.20010729613733902
2014-08-01,1483.4285714285713,-0.12944332662642527
2014-09-01,2220.5714285714284,0.4969183359013868
2014-10-01,1853.2173913043478,-0.16543220926850005
2014-11-01,1399.578947368421,-0.24478425794215267
2014-12-01,1013.4545454545455,-0.27588611749261566
2015-01-01,1041.6,0.027771797631862084
2015-02-01,1121.6842105263158,0.07688576279408212
2015-03-01,1780.3636363636363,0.587223587223587
2015-04-01,1740.5714285714287,-0.022350606909430328
2015-05-01,1824.4,0.048161523309258034
2015-06-01,1589.2727272727273,-0.12887923302306117
2015-07-01,1400.909090909091,-0.11852190824848409
2015-08-01,1011.047619047619,-0.2782917709588703
2015-09-01,779.8095238095239,-0.22871137905048977
2015-10-01,978.7272727272727,0.25508504685348843
2015-11-01,881.8,-0.0990339959130597
2015-12-01,663.2727272727273,-0.24781954267098288
2016-01-01,498.5263157894737,-0.24838411819021233
2016-02-01,529.2,0.06152871621621628
2016-03-01,799.6363636363636,0.5110286538857965
2016-04-01,647.8095238095239,-0.18986985426276007
2016-05-01,463.6190476190476,-0.28432813878271107
2016-06-01,306.90909090909093,-0.33801449167102404
2016-07-01,319.2,0.04004739336492878
2016-08-01,176.34782608695653,-0.4475318731611637
