,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps
0,2020,2021-01-01,556572889.0,14992967,106106829,1358549162.0,183944005.0,69542953.0,119288435.0,,910622245.0,GREEN THUMB INDUSTRIES INC.,0001795139,0.07
1,2019,2020-01-01,216432605.0,-59116407,-27690702,1167536624.0,109062611.0,46034481.0,111367255.0,,840695763.0,GREEN THUMB INDUSTRIES INC.,0001795139,-0.31
2,2018,,,-5243917,-26340158,,,,,,,GREEN THUMB INDUSTRIES INC.,0001795139,-0.04
