,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,13125.0,-297519.0,-297519.0,64913.0,64913.0,,11925.0,,VETANOVA INC,0001280396,52988,-0.01
1,2019,2020-01-01,,-4515.0,-4515.0,734.0,734.0,,17243.0,,VetaNova Inc.,0001280396,-16509,-0.01
2,2018,,,,,,,,,,VetaNova Inc.,0001280396,-11994,
