name,ttm,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007
NetIncomeFromContinuingAndDiscontinuedOperation,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,549,040","-16,414,520","-4,192,313","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
NormalizedIncome,"-6,651,020","-6,097,348","-2,774,799.74","-7,809,342","-7,179,978","-3,913,541","-5,640,258","-7,465,406","-6,564,156","-14,650,460.5","-20,764,026","-11,734,166","-1,853,026.45","-54,736","-35,156"
InterestIncome,,,,,,,,,,,,,"42",,
InterestExpense,"341,064","164,177","163,195","198,038","248,200","384,899","1,054,758","1,129,388","1,774,792","1,231,199","553,893","642,164","119,237",,
NetInterestIncome,"-341,064","-164,177","-163,195","-198,038","-248,200","-384,899","-1,054,758","-1,129,388","-1,774,792","-1,231,199","-553,893","-642,164","-119,195",,
EBIT,"-7,508,939","-9,290,509","4,461,758","-9,839,104","-6,849,075","-4,165,585","1,004,272","-17,166,414","-2,458,310","-13,957,397","-22,616,450","-11,222,068","-1,738,925","-51,282","-33,533"
EBITDA,"-7,180,886"
ReconciledCostOfRevenue,"97,344","352,963","400,814","328,335","359,239","217,302","355,995","412,225","501,460","3,558,714","9,964,619","3,456,658","1,410,113",,
ReconciledDepreciation,"328,053","295,485","293,804","211,158","1,779,820","164,615","1,268,601","1,425,522","604,008","1,222,861","2,201,973","1,733,023","100,616",,
NetIncomeFromContinuingOperationNetMinorityInterest,"-7,850,003","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,549,040","-16,414,520","-4,192,313","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
TotalUnusualItemsExcludingGoodwill,"-1,198,983","-3,357,338","9,689,538","-2,227,800","82,703","-636,943","7,189,298","-8,949,114","2,371,843","1,537,530","-2,406,317","-130,066","14,553",,
TotalUnusualItems,"-1,198,983","-3,357,338","9,689,538","-2,227,800","82,703","-636,943","7,189,298","-8,949,114","2,371,843","1,537,530","-2,406,317","-130,066","14,553",,
NormalizedEBITDA,"-5,981,903","-5,637,686","-4,933,976","-7,400,146","-5,151,958","-3,364,027","-4,916,425","-6,791,778","-4,226,145","-14,272,066","-18,008,160","-9,358,979","-1,652,862","-51,282","-33,533"
TaxRateForCalcs,"0","0","0.27","0","0","0","0","0","0","0.35","0","0","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"0","0","2,616,175.26","0","0","0","0","0","0","538,135.5","0","0","5,093.55","0","0"
