name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
OperatingIncome,"1,009,500,000","1,009,500,000","883,900,000","922,300,000","324,600,000","492,000,000","172,100,000","581,800,000","700,700,000","690,500,000","619,700,000","539,000,000","467,500,000","550,300,000","392,900,000","328,700,000","279,900,000","228,800,000","196,600,000","186,900,000","-131,900,000","376,500,000","374,400,000","364,000,000","322,900,000","472,500,000","359,900,000","314,700,000","57,600,000","306,900,000","324,700,000","307,200,000","301,000,000","281,100,000","268,900,000","248,800,000"
NetNonOperatingInterestIncomeExpense,"-151,200,000","-151,200,000","-158,500,000","-133,100,000","-79,100,000","-82,700,000","-80,100,000","-59,500,000","-42,200,000","-45,300,000","-39,400,000","-39,300,000","-27,000,000","-31,900,000",,,,,,,,,,,,,,,,,,,,,,
"	InterestIncomeNonOperating","100,000","100,000","1,900,000","1,400,000","900,000","600,000","1,300,000","200,000","200,000","100,000","100,000","200,000","200,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","151,300,000","151,300,000","160,400,000","134,500,000","80,000,000","83,300,000","81,400,000","59,700,000","42,400,000","45,400,000","39,500,000","39,500,000","27,200,000","32,900,000",,,,,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,,,,,,,,,,,"39,300,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-128,500,000","-128,500,000","-70,400,000","-45,500,000","-64,700,000","-70,000,000","-222,500,000","-37,300,000","-42,600,000","-32,600,000","-29,800,000","-149,200,000","-130,500,000","-46,500,000","-162,700,000","-74,500,000","-21,000,000","-15,500,000","-63,500,000","-25,400,000","-280,400,000","-56,600,000","11,700,000","12,000,000","-255,400,000","10,100,000","33,400,000","67,000,000","56,200,000","71,400,000","59,000,000","62,800,000","86,200,000","105,500,000","156,000,000","104,800,000"
"	GainOnSaleOfSecurity",,,,,,"-4,200,000","-10,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest",0,0,0,"100,000","100,000","500,000","-200,000","-900,000","-900,000","-300,000","2,600,000","2,700,000","2,300,000","3,100,000","2,500,000","2,300,000","70,600,000","-2,100,000","-68,600,000","4,700,000",,,,,,,,,,,,,,,,
"	SpecialIncomeCharges","-108,200,000","-108,200,000","-62,300,000","-39,200,000","-58,400,000","-53,400,000","-191,100,000","-40,900,000","-9,600,000","-28,300,000","-32,400,000","-151,900,000","-132,800,000","-49,600,000","-165,200,000","-76,800,000","-91,600,000","-13,400,000","5,100,000","-30,100,000","-280,400,000","-56,600,000","11,700,000","12,000,000","-255,400,000","10,100,000","33,400,000","67,000,000","56,200,000","71,400,000","59,000,000","62,800,000","86,200,000","105,500,000","156,000,000","104,800,000"
"		RestructuringAndMergernAcquisition","108,200,000","108,200,000","62,200,000","126,400,000","16,300,000","53,400,000","217,700,000","40,900,000","9,600,000","28,300,000","32,400,000","151,900,000","132,800,000","49,600,000","162,900,000","74,800,000","40,400,000","3,500,000","-5,100,000","30,100,000","280,400,000",,,,,,,,,,,,,,,
"		ImpairmentOfCapitalAssets",0,,0,0,"42,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges",,,,"2,600,000","6,400,000","12,900,000","20,500,000","-4,500,000","32,100,000","4,000,000",,,,,"2,300,000","2,000,000","51,200,000","9,900,000",,,,,,,,,,,,,,,,,,
"		GainOnSaleOfBusiness",0,0,"-100,000","87,200,000",0,0,"26,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","-20,300,000","-20,300,000","-8,100,000","-6,400,000","-6,400,000","-12,900,000","-20,500,000","4,500,000","-32,100,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
