name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalRevenue,"458,704,000","458,704,000","468,186,000","454,272,000","355,047,000","312,113,000","289,382,000","298,634,000","381,021,000","366,190,000","304,429,000","229,620,000","209,329,000","237,538,000","216,662,000","193,771,000","189,796,000","150,855,000","124,863,000","100,671,400","87,016,500","77,979,700","69,211,700","67,000,000","67,700,000","48,600,000","55,400,000","45,100,000","45,500,000","38,700,000","29,300,000","22,300,000","19,000,000","17,900,000","18,900,000","15,900,000"
	OperatingRevenue,"458,704,000","458,704,000","468,186,000","454,272,000","355,047,000","312,113,000","289,382,000","298,634,000","381,021,000","366,190,000","304,429,000","229,620,000","209,329,000","237,538,000","216,662,000","193,771,000","189,796,000","150,855,000","124,863,000","100,671,400","87,016,500","77,979,700","69,211,700","67,000,000","67,700,000","48,600,000","55,400,000","45,100,000","45,500,000","38,700,000","29,300,000","22,300,000","19,000,000","17,900,000","18,900,000","15,900,000"
CostOfRevenue,"286,114,000","286,114,000","290,832,000","271,641,000","207,655,000","183,825,000","177,480,000","184,138,000","209,674,000","205,065,000","181,361,000","140,538,000","148,903,000","136,407,000","120,932,000","111,413,000","104,117,000","78,597,000","65,989,000","56,795,800","45,196,400","38,457,200","32,734,100","36,800,000","37,600,000","26,000,000","27,300,000","21,900,000","20,900,000","17,800,000","14,300,000","12,700,000","10,100,000","10,200,000","10,700,000","9,000,000"
GrossProfit,"172,590,000","172,590,000","177,354,000","182,631,000","147,392,000","128,288,000","111,902,000","114,496,000","171,347,000","161,125,000","123,068,000","89,082,000","60,426,000","101,131,000","95,730,000","82,358,000","85,679,000","72,258,000","58,874,000","43,875,600","41,820,100","39,522,500","36,477,600","30,200,000","30,100,000","22,600,000","28,100,000","23,200,000","24,600,000","20,900,000","15,000,000","9,600,000","8,900,000","7,700,000","8,200,000","6,900,000"
OperatingExpense,"154,339,000","154,339,000","151,133,000","143,610,000","120,598,000","107,748,000","100,378,000","107,786,000","115,612,000","101,802,000","83,842,000","69,891,000","66,755,000","64,987,000","59,717,000","53,142,000","53,412,000","47,300,000","42,332,000","31,996,100","31,452,700","30,694,300","29,499,400","26,100,000","25,300,000","19,100,000","22,100,000","19,700,000","20,500,000","17,100,000","13,200,000","9,900,000","6,800,000","6,000,000","5,500,000","4,900,000"
	SellingGeneralAndAdministration,"128,029,000","128,029,000","127,063,000","117,182,000","94,522,000","86,450,000","81,570,000","86,580,000","93,968,000","81,052,000","65,801,000","57,256,000","56,125,000","64,987,000","59,717,000","53,142,000","53,412,000","47,300,000","42,332,000","31,996,100","32,214,600","27,745,100","26,284,600","23,000,000","22,600,000","16,800,000","18,700,000","16,200,000","17,000,000","13,900,000","10,300,000","8,500,000","5,800,000","5,300,000","4,900,000","4,400,000"
		GeneralAndAdministrativeExpense,"48,828,000","48,828,000","46,593,000","42,981,000","37,660,000","32,128,000","28,516,000","27,057,000","33,536,000","29,715,000","42,483,000","34,842,000","34,066,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"48,828,000","48,828,000","46,593,000","42,981,000","37,660,000","32,128,000","28,516,000","27,057,000","33,536,000","29,715,000","42,483,000","34,842,000","34,066,000",,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"79,201,000","79,201,000","80,470,000","74,201,000","56,862,000","54,322,000","53,054,000","59,523,000","60,432,000","51,337,000","23,318,000","22,414,000","22,059,000",,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"26,310,000","26,310,000","24,070,000","26,428,000","26,076,000","21,298,000","18,808,000","21,206,000","21,644,000","20,750,000","18,041,000","12,635,000","10,630,000",,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,"2,949,200","3,214,800","3,100,000","2,700,000","2,300,000","3,400,000","3,500,000","3,500,000","3,200,000","2,900,000","1,400,000","1,000,000","700,000","600,000","500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,"2,949,200","3,214,800","3,100,000","2,700,000","2,300,000","3,400,000","3,500,000","3,500,000","3,200,000","2,900,000","1,400,000","1,000,000","700,000","600,000","500,000"
	OtherOperatingExpenses,"153,622,000","153,622,000",,,,,,,,,,,,,,,,,,,"-761,900",,,,,,,,,,,,,,,
OperatingIncome,"18,251,000","18,251,000","26,221,000","39,021,000","26,794,000","20,540,000","11,524,000","6,710,000","55,735,000","59,323,000","39,226,000","19,191,000","-6,329,000","36,144,000","36,013,000","29,216,000","32,267,000","24,958,000","16,542,000","11,879,500","10,367,400","8,828,200","6,978,200","4,100,000","4,800,000","3,500,000","6,000,000","3,500,000","4,100,000","3,800,000","1,800,000","-300,000","2,100,000","1,700,000","2,700,000","2,000,000"
NetNonOperatingInterestIncomeExpense,"-5,178,000","-5,178,000","-7,209,000","-4,024,000","-1,941,000","-1,623,000","-2,562,000","-3,066,000","-1,901,000","-2,466,000","-3,457,000","-3,017,000","-3,209,000",,,,,,,,,,,,,,,,,,,,,,,
