name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
DilutedNIAvailtoComStockholders,"11,000,000","11,000,000","475,000,000","1,240,000,000","364,000,000","-122,000,000","509,000,000","463,555,000","818,573,000","1,300,523,000","1,511,821,000","1,024,740,000","770,420,000","2,004,238,000","535,640,000","373,903,000","422,173,000","250,926,000","103,077,000"
BasicEPS,,,"0.37","0.97","0.29","-0.1","0.4","0.365","0.644","1.024","1.193","0.81","0.597","1.565","0.417","0.291","0.329","0.206","0.084"
DilutedEPS,,,"0.37","0.97","0.29","-0.1","0.4","0.365","0.644","1.024","1.188","0.806","0.597","1.559","0.416","0.291","0.329","0.202","0.084"
BasicAverageShares,,,"1,278,950,000","1,277,209,000","1,276,072,000","1,273,989,000","1,272,500,000","1,270,013,699","1,271,076,087","1,270,009,000","1,267,699,000","1,264,425,000","1,291,155,548","1,280,446,000","1,285,069,000","1,282,982,000","1,284,491,000","1,213,423,000","1,261,162,000"
DilutedAverageShares,,,"1,280,638,000","1,279,781,000","1,276,997,000","1,273,989,000","1,272,500,000","1,270,013,699","1,271,076,087","1,270,117,000","1,272,945,000","1,271,598,000","1,291,155,548","1,285,528,000","1,286,337,000","1,284,579,000","1,284,491,000","1,239,247,000","1,261,162,000"
TotalOperatingIncomeAsReported,"202,000,000","202,000,000","756,000,000","1,519,000,000","629,000,000","-3,000,000","765,000,000","757,670,000","1,101,366,000","1,576,515,000",,,,,,,,,
RentExpenseSupplemental,,,,,,,"26,000,000",,,,,,,,,,,,
TotalExpenses,"4,841,000,000","4,841,000,000","4,527,000,000","4,859,000,000","4,811,000,000","4,877,000,000","4,754,000,000","5,173,966,000","5,164,032,000","5,096,138,000","5,135,994,000","4,349,441,000","3,619,767,000","4,529,840,000","3,385,624,000","2,721,716,000","2,424,672,000","2,360,587,000","2,067,883,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"11,000,000","11,000,000","475,000,000","1,240,000,000","364,000,000","-122,000,000","509,000,000","463,555,000","818,573,000","1,300,523,000","1,511,821,000","1,024,740,000","770,420,000","2,004,238,000","535,640,000","373,903,000","422,173,000","250,503,000","103,077,000"
NormalizedIncome,"11,000,000","11,000,000","457,290,000","539,300,000","330,190,000","231,250,000","432,240,000","675,098,321","780,182,405","1,302,633,571.863","1,516,601,510.101","1,021,539,226.873","767,443,657.109","2,038,903,108.196","551,603,673.668","375,563,423.418","451,701,770.534","255,919,299.048","137,690,960.605"
InterestIncome,"61,000,000","61,000,000","8,000,000",,,"0","1,000,000","1,974,000","8,607,000","30,733,000","22,613,000","10,408,000","89,539,000","27,506,000",,,,,
InterestExpense,"219,000,000","219,000,000","109,000,000","95,000,000","97,000,000","129,000,000","80,000,000","86,736,000","48,494,000","54,194,000","48,033,000","43,585,000","83,424,000","84,580,000","50,671,000","35,479,000","42,241,000","31,554,000","34,148,000"
NetInterestIncome,"-158,000,000","-158,000,000","-140,000,000","-106,000,000","-151,000,000","-150,000,000","-102,000,000","-83,729,000","-86,357,000","-57,682,000","-62,258,000","-53,182,000","6,115,000","-122,084,000","-54,077,000","-39,250,000","-10,237,000","-38,215,000","-32,314,000"
EBIT,"268,000,000","268,000,000","737,000,000","1,459,000,000","602,000,000","12,000,000","748,000,000","718,990,000","1,148,690,000","1,580,353,000","1,919,741,000","1,339,008,000","1,026,230,000","2,311,789,000","691,873,000","530,380,000","556,513,000","341,009,000","161,119,000"
EBITDA,"757,000,000"
ReconciledCostOfRevenue,"3,553,000,000","3,553,000,000","3,454,000,000","3,702,000,000","3,746,000,000","3,703,000,000","3,207,000,000","3,914,573,000","3,861,572,000","3,915,062,000","3,912,171,000","3,259,461,000","2,717,786,000","3,448,774,000","2,585,249,000","2,086,507,000","1,845,348,000","1,777,905,000","1,565,814,000"
ReconciledDepreciation,"489,000,000","489,000,000","443,000,000","403,000,000","390,000,000","406,000,000","430,000,000","427,478,000","347,741,000","287,063,000","267,440,000","217,395,000","204,618,000","182,188,000","195,437,000","169,226,000","166,010,000","166,261,000","166,417,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"11,000,000","11,000,000","475,000,000","1,240,000,000","364,000,000","-122,000,000","509,000,000","463,555,000","818,573,000","1,300,523,000","1,511,821,000","1,024,740,000","770,420,000","2,004,238,000","535,640,000","373,903,000","422,173,000","250,503,000","103,077,000"
TotalUnusualItemsExcludingGoodwill,,,"23,000,000","770,000,000","49,000,000","-471,000,000","101,000,000","-287,033,000","51,531,000","-2,468,000","-5,875,000","4,031,000","3,624,000","-38,720,000","-19,381,000","-2,294,000","-36,820,000","-6,698,000","-43,738,000"
TotalUnusualItems,,,"23,000,000","770,000,000","49,000,000","-471,000,000","101,000,000","-287,033,000","51,531,000","-2,468,000","-5,875,000","4,031,000","3,624,000","-38,720,000","-19,381,000","-2,294,000","-36,820,000","-6,698,000","-43,738,000"
NormalizedEBITDA,"757,000,000","757,000,000","1,157,000,000","1,092,000,000","943,000,000","889,000,000","1,077,000,000","1,433,501,000","1,444,900,000","1,869,884,000","2,193,056,000","1,552,372,000","1,227,224,000","2,532,697,000","906,691,000","701,900,000","759,343,000","513,968,000","371,274,000"
TaxRateForCalcs,"0.23","0.23","0.23","0.09","0.31","0.25","0.24","0.263","0.255","0.145","0.186","0.206","0.179","0.105","0.176","0.276","0.198","0.191","0.209"
TaxEffectOfUnusualItems,"0","0","5,290,000","69,300,000","15,190,000","-117,750,000","24,240,000","-75,489,679","13,140,405","-357,428.137","-1,094,489.899","830,226.873","647,657.109","-4,054,891.804","-3,417,326.332","-633,576.582","-7,291,229.466","-1,281,700.952","-9,124,039.395"
