Unnamed: 0,CurrentRatio,DERatio,NetMargin,OperatingMargin,QuickRatio,ROA1,ROC1,ROE1,asset,current_asset,current_liability,debt,entity.cik,entity.name,eps,equity,inventory,net_income,operating_income,period.end,period.fiscal-year,revenue
0.0,,,,,,,,,14522000.0,10342000.0,1814000.0,,1121702.0,"YIELD10 BIOSCIENCE, INC.",-4.3,9532000,,-10206000.0,-9609000.0,1/1/21,2020.0,799000.0
1.0,,,,,,,,,16718000.0,11684000.0,2207000.0,,1121702.0,"YIELD10 BIOSCIENCE, INC.",-35.5,-4085000,,-12956000.0,-8596000.0,1/1/20,2019.0,806000.0
2.0,,,,,,,,,12960000.0,6377000.0,1641000.0,,1121702.0,"YIELD10 BIOSCIENCE, INC.",-36.99,5698000,,-9185000.0,-9319000.0,1/1/19,2018.0,556000.0
3.0,,,,,,,,,16882000.0,14917000.0,2375000.0,,1121702.0,"YIELD10 BIOSCIENCE, INC.",-3.29,13502000,,-9396000.0,-9283000.0,1/1/18,2017.0,944000.0
4.0,,,,,,,,,10748000.0,7860000.0,2758000.0,,1121702.0,"YIELD10 BIOSCIENCE, INC.",-2.73,6369000,0.0,-7604000.0,-10248000.0,1/1/17,2016.0,1159000.0
5.0,,,,,,,,,17088000.0,14850000.0,3910000.0,,1121702.0,"YIELD10 BIOSCIENCE, INC.",-0.95,13028000,51000.0,-23681000.0,-12469000.0,1/1/16,2015.0,1350000.0
6.0,,,,,,,,,23135000.0,21965000.0,4189000.0,,1121702.0,"YIELD10 BIOSCIENCE, INC.",-2.88,18796000,586000.0,-29534000.0,-26829000.0,1/1/15,2014.0,2800000.0
7.0,,,,,,,,,26738000.0,25231000.0,6195000.0,,1121702.0,"METABOLIX, INC.",-5.31,20398000,1921000.0,-30506000.0,-28540000.0,1/1/14,2013.0,5394000.0
8.0,,,,,,,,,53510000.0,48955000.0,5984000.0,,1121702.0,"METABOLIX, INC.",0.11,47340000,3204000.0,3630000.0,3929000.0,1/1/13,2012.0,42316000.0
9.0,,,,,,,,,82912000.0,78439000.0,7165000.0,,1121702.0,"METABOLIX, INC.",-1.24,39463000,,-38785000.0,-38861000.0,1/1/12,2011.0,1425000.0
10.0,,,,,,,,,66771000.0,63256000.0,6395000.0,,1121702.0,"METABOLIX, INC.",-1.45,23676000,,-38803000.0,-38939000.0,1/1/11,2010.0,448000.0
11.0,,,,,,,,,97554000.0,93353000.0,4562000.0,,1121702.0,"METABOLIX, INC.",-1.62,55044000,,-37957000.0,-38729000.0,1/1/10,2009.0,1425000.0
12.0,,,,,,,,,96946000.0,91841000.0,4610000.0,,1121702.0,"METABOLIX, INC.",-1.58,59091000,,-36005000.0,-38892000.0,1/1/09,2008.0,1555000.0
13.0,,,,,,,,,119004.0,111546000.0,4659000.0,,1121702.0,,-1.27,89202000,,-27875000.0,-33816000.0,1/1/08,2007.0,1683000.0
14.0,,,,,,,,,127596000.0,123400000.0,3221000.0,,1121702.0,,-2.96,"109,588,000",,-16062000.0,-17524000.0,1/1/07,2006.0,4590000.0
15.0,,,,,,,,,7325000.0,3759000.0,2973000.0,,1121702.0,,-2.56,"-46,558,000",,-7625000.0,-7024000.0,1/1/06,2005.0,2781000.0
,,,,,,,,,,,,,1121702.0,,,,,,,,,
0.0,1.5484994956838396,2.017375199289717,-0.2805548173611885,-0.09967624223824342,0.9937648183806866,-0.09505557276740764,0.5187059484160793,-0.3124385423926222,1032880000.0,118214000.0,76341000.0,633942000.0,1425292.0,"CVR PARTNERS, LP",-8.77,314241000.0,42349000.0,-98181000.0,-34882000.0,1/1/21,2020.0,349953000.0
1.0,1.654420039453999,1.5073651392940908,-0.08651902508059588,0.06774259792120779,1.0150004633858944,-0.030729686147519013,0.5250093369245709,-0.08335001811490571,1137955000.0,124960000.0,75531000.0,632406000.0,1425292.0,"CVR Partners, LP",-3.09,419544000.0,48296000.0,-34969000.0,27380000.0,1/1/20,2019.0,404177000.0
2.0,1.5601663472907408,1.2584159287432026,-0.1424937763827254,0.017984402504258264,1.041929302401435,-0.03988159963264955,0.4615493770667449,-0.10008883091315778,1254388000.0,191331000.0,122635000.0,628989000.0,1425292.0,"CVR Partners, LP",-0.44,499826000.0,63554000.0,-50027000.0,6314000.0,1/1/19,2018.0,351082000.0
10.0,2.103396024601123,1.1383115123496643,-0.22003494537517912,-0.031069945163572168,1.1555575363223103,-0.05897222339249892,0.44812991583730055,-0.1323771989968228,1234276000.0,117990000.0,56095000.0,625904000.0,1425292.0,"CVR PARTNERS, LP",-0.64,549853000.0,53169000.0,-72788000.0,-10278000.0,1/1/18,2017.0,330802000.0
