Year,Average_temperature_U.S.,Difference
1980,11.07056699,
1981,11.39253105,0.32196406
1982,10.74659314,-0.64593791
1983,11.06425327,0.31766013
1984,11.0799085,0.01565523
1985,10.79574183,-0.28416667
1986,11.61405392,0.81831209
1987,11.69271078,0.07865686
1988,11.19832843,-0.49438235
1989,10.79261111,-0.40571732
1990,11.99040196,1.19779085
1991,11.8412549,-0.14914706
1992,11.09153105,-0.74972385
1993,10.74338072,-0.34815033
1994,11.31936928,0.57598856
1995,11.29153268,-0.0278366
1996,10.78132353,-0.51020915
1997,11.06745752,0.28613399
1998,12.42311601,1.35565849
1999,12.01627451,-0.4068415
2000,11.48387908,-0.53239543
2001,11.90172712,0.41784804
2002,11.84943464,-0.05229248
2003,11.45333824,-0.3960964
2004,11.5582598,0.10492156
2005,11.83835131,0.28009151
2006,12.23848366,0.40013235
2007,11.88225327,-0.35623039
2008,11.19365359,-0.68859968
2009,11.1563268,-0.03732679
2010,11.73287745,0.57655065
2011,11.81109314,0.07821569
2012,12.7618415,0.95074836
2013,13.06522222,0.30338072
