Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District Of Columbia,Florida,Georgia (State),Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,18.5365,-4.8475,15.53125,16.87008333,14.52758333,7.4715,10.83125,13.72383333,13.74533333,22.9015,19.14425,22.99225,5.931166667,12.2955,12.316,10.22925,13.31658333,14.34775,20.16591667,5.939333333,13.93841667,9.448083333,7.98075,6.18325,18.85266667,13.8045,6.092166667,10.27241667,10.05641667,7.46075,12.43966667,12.12833333,9.10025,16.55441667,6.073833333,11.87083333,16.3245,8.605333333,10.89141667,10.767,18.79083333,8.62425,15.48308333,18.83375,8.949,7.28275,14.57375,8.371166667,12.58808333,7.523583333,5.675916667
1991,18.03908333,-3.999416667,15.249,16.55816667,14.5575,7.192666667,10.797,13.63916667,13.75875,22.50566667,18.51183333,23.02691667,5.814583333,12.36166667,12.51858333,9.803833333,13.4205,14.41508333,19.6675,5.567083333,13.91291667,9.345,8.075083333,5.806583333,18.43508333,13.71483333,6.179083333,10.3285,9.98525,7.207,12.41766667,11.71741667,9.0335,16.09516667,5.9965,12.09725,16.12358333,8.716,10.94933333,10.7315,18.11575,8.535333333,15.29433333,18.3825,8.331666667,7.04225,14.35108333,8.30225,12.58966667,7.091416667,5.595333333
1992,17.03858333,-5.104333333,15.42908333,15.79766667,15.27691667,7.28925,9.050166667,11.98416667,11.95658333,21.68633333,17.51541667,23.17691667,6.75275,11.3745,11.20608333,9.371666667,12.57366667,13.153,19.109,4.462583333,12.22591667,7.674,6.69725,5.316583333,17.60758333,12.86016667,6.47575,9.67675,10.8005,5.665333333,10.69291667,11.71883333,7.199416667,14.93333333,5.396333333,10.51333333,15.57075,9.7125,9.2165,9.00425,17.09491667,7.900083333,14.14033333,18.151,9.142916667,5.43825,12.96941667,9.15275,11.1315,6.462166667,6.02675
1993,17.12675,-2.46425,15.55325,15.39291667,14.40708333,6.491083333,9.55275,12.48491667,12.39041667,21.74666667,17.77441667,22.75958333,4.4885,10.79125,10.94116667,8.163083333,11.37241667,13.08608333,18.95925,4.6005,12.63308333,8.10375,6.653083333,4.242916667,17.515,11.96333333,4.393666667,8.080083333,9.273916667,6.059416667,11.17841667,12.00433333,7.442666667,15.23941667,3.817833333,10.60933333,14.90033333,7.580666667,9.51625,9.511166667,17.43933333,6.114666667,14.20208333,17.97716667,7.944166667,5.76675,13.28658333,7.423583333,11.40833333,5.9135,4.09975
1994,17.51758333,-4.560333333,15.98958333,16.01458333,14.56816667,7.988833333,9.621833333,12.49158333,12.45533333,22.41433333,18.01675,23.04308333,6.422916667,11.40866667,11.34791667,9.166416667,13.0095,13.33641667,19.46883333,4.879583333,12.705,8.260666667,6.990083333,5.27825,17.99666667,12.90891667,6.051,9.838583333,10.4605,6.15975,11.15616667,12.741,7.499083333,15.38425,4.76325,10.68633333,15.85366667,8.877416667,9.44275,9.599083333,17.58183333,7.52,14.47891667,18.79741667,9.475666667,5.864916667,13.36883333,8.724583333,11.37966667,6.599833333,6.242166667
1995,17.53641667,-3.55925,16.20375,16.0665,15.09383333,7.518083333,9.803083333,12.57675,12.55308333,22.00691667,17.97975,23.19033333,6.025583333,11.20366667,11.27658333,9.048,12.47458333,13.29866667,19.65958333,5.186916667,12.74416667,8.408666667,7.165333333,4.980083333,18.03366667,12.63775,5.521666667,9.465666667,10.54583333,6.489583333,11.32475,12.64283333,7.999916667,15.11941667,4.533166667,10.60033333,15.62666667,9.0105,9.694416667,9.748583333,17.40475,7.382333333,14.41175,18.60991667,9.204583333,6.326833333,13.20791667,8.561166667,11.28683333,6.4995,5.53675
1996,17.06608333,-4.9125,16.66516667,15.56508333,15.44575,7.524,9.3675,11.9575,11.84716667,21.54808333,17.48566667,23.38341667,5.73875,10.387,10.53458333,7.8765,11.97833333,12.74333333,19.30166667,5.15525,12.09233333,8.167833333,6.22875,3.467,17.6775,11.92491667,4.1225,8.340083333,10.86233333,6.32025,10.80583333,12.83841667,7.594583333,14.72816667,2.81225,10.14966667,15.40491667,8.723,9.217416667,9.332916667,16.99316667,5.746083333,13.91683333,18.69691667,9.450333333,6.103333333,12.703,7.507666667,10.84141667,5.240166667,5.179583333
1997,17.25366667,-3.299833333,15.95366667,15.62141667,15.2005,7.048166667,9.587166667,12.44141667,12.35741667,22.26075,17.80691667,23.17341667,5.815416667,10.89908333,10.81325,8.997583333,12.32791667,12.87708333,19.22125,4.569083333,12.564,8.164333333,6.814416667,5.101916667,17.66283333,12.394,5.805666667,9.49925,10.32783333,5.980666667,11.13808333,11.874,7.53,14.94458333,5.09775,10.36516667,15.25316667,8.838833333,9.402333333,9.5445,17.22591667,7.4785,14.06475,17.90083333,8.70225,5.711833333,13.00591667,8.368666667,11.04733333,6.384,5.321666667
1998,18.78683333,-3.063,15.25808333,17.48791667,13.90558333,7.808333333,11.11716667,13.89033333,14.07358333,22.95525,19.15833333,22.57125,6.432166667,13.22983333,13.24258333,11.05383333,13.78575,14.89791667,20.64341667,6.562083333,14.17566667,9.84825,9.387,7.432416667,19.27508333,14.31075,6.696583333,10.608,9.609583333,8.02075,12.785,12.57741667,9.686416667,16.43566667,6.509083333,12.64408333,17.06383333,8.897083333,11.47241667,11.05433333,18.63875,8.929083333,15.93608333,19.60816667,8.716416667,7.86125,14.63633333,9.123,12.89308333,8.905333333,6.04475
1999,18.27108333,-5.627833333,16.00025,17.021,14.53525,8.016166667,10.84466667,13.329,13.189,22.27191667,18.50291667,22.55708333,6.087,12.33416667,12.305,10.41741667,13.61391667,14.32825,20.25183333,6.7485,13.40633333,9.567333333,8.3525,6.781333333,18.82766667,13.86616667,6.79875,10.80166667,10.32641667,7.667916667,12.17025,12.6245,8.915083333,15.80958333,6.418833333,11.73125,16.69158333,8.541,10.54583333,10.82308333,17.95275,9.10275,15.42075,19.38316667,9.225583333,7.423416667,13.97316667,8.242666667,12.18875,7.84,6.413333333
2000,17.91133333,-3.30175,16.51025,16.36258333,15.01933333,8.204833333,9.581,12.34758333,12.27775,21.952,17.92066667,22.9415,6.239,11.58291667,11.41591667,9.809666667,13.34358333,13.4795,19.91325,5.210583333,12.51333333,8.28675,7.579833333,5.71025,18.42933333,13.19675,5.835833333,10.19466667,10.8475,6.291,11.0765,13.07575,7.737916667,15.09991667,5.36425,10.87533333,16.14258333,8.678,9.674833333,9.552916667,17.32283333,8.096166667,14.70133333,19.238,9.761166667,6.032416667,13.20358333,7.859916667,11.46608333,7.023666667,6.087916667
2001,17.67775,-3.727833333,16.25775,16.5075,15.17125,8.142916667,10.54733333,13.098,12.99358333,22.15708333,18.22916667,23.06425,6.429333333,12.22241667,12.26525,10.06375,13.53566667,14.01866667,19.62508333,6.133166667,13.18266667,9.195916667,8.524333333,6.377,18.16225,13.57725,6.581,10.42025,10.87816667,7.27275,11.94008333,12.7415,8.922833333,15.64925,5.998,11.73266667,16.41058333,8.882666667,10.52375,10.50141667,17.89458333,8.41975,14.88483333,18.82975,9.655916667,7.117583333,13.74116667,8.284,12.02433333,7.817916667,6.431833333
2002,18.02216667,-2.238916667,16.25641667,16.19858333,15.03758333,7.720916667,10.72291667,13.62675,13.46358333,22.43116667,18.52416667,23.10558333,5.7765,12.11108333,12.25133333,10.08416667,13.16741667,14.20308333,19.66591667,5.629833333,13.7255,9.300166667,7.954833333,5.822416667,18.35233333,13.36058333,5.324583333,10.25766667,10.49808333,7.188916667,12.35583333,12.63816667,8.904416667,16.01241667,5.363166667,11.84916667,15.67108333,8.806166667,10.73825,10.67133333,18.146,8.265666667,15.10591667,18.50416667,9.074166667,7.013333333,14.16558333,8.28875,12.3655,7.421666667,5.415083333
2003,17.51316667,-2.8045,16.67616667,16.04533333,15.39141667,8.253666667,9.429833333,12.11483333,12.07275,22.17891667,17.96516667,23.26091667,7.068083333,11.29341667,11.15183333,9.453333333,13.07483333,13.30058333,19.51408333,4.91275,12.35691667,8.068333333,6.96275,5.585583333,17.94858333,12.88366667,6.4175,10.19491667,11.27491667,6.101916667,10.89391667,13.23041667,7.595416667,15.2715,5.285416667,10.58241667,15.93558333,9.56425,9.424916667,9.391583333,17.39375,8.169583333,14.431,18.75575,10.02991667,5.9025,13.20883333,9.032333333,11.35891667,6.639833333,6.36075
2004,17.8385,-2.736583333,15.83975,16.4005,15.06875,7.617416667,9.707416667,12.72358333,12.78658333,22.14091667,18.27341667,23.43483333,6.38675,11.76141667,11.77291667,9.748083333,13.0685,13.88375,19.88525,4.840416667,12.98933333,8.336166667,7.267166667,5.402833333,18.332,13.109,6.1085,10.17766667,10.45683333,6.262583333,11.47525,12.16433333,7.904,15.62125,5.124833333,11.17808333,16.01925,9.285166667,9.988166667,9.661,17.7965,8.273583333,14.94133333,18.58025,8.988583333,6.02225,13.698,9.111833333,11.934,6.819,6.000333333
2005,17.85725,-2.80725,16.26708333,16.87358333,14.91966667,8.102083333,10.121,12.74825,12.81866667,22.1055,18.17391667,23.255,6.06325,12.35358333,12.11266667,10.37483333,13.51866667,14.0955,20.077,5.657416667,12.99533333,8.811666667,8.096333333,6.387083333,18.477,13.79166667,6.199,10.653,10.35675,6.921166667,11.64191667,12.79825,8.511666667,15.66058333,6.0955,11.39666667,16.355,8.84,10.218,10.07108333,17.73,8.820166667,15.0775,18.95458333,9.326666667,6.792916667,13.68825,8.53175,11.98041667,7.6615,6.226833333
2006,18.29575,-4.116,16.22016667,16.949,14.94541667,7.9735,11.02541667,13.66833333,13.58858333,22.392,18.6015,23.03441667,6.43225,12.57683333,12.41875,10.79783333,14.07091667,14.11075,20.22783333,6.803,13.73708333,9.739083333,8.637333333,7.095833333,18.77416667,14.11075,6.911416667,10.91541667,10.46641667,7.89375,12.51991667,12.83475,9.28575,15.86358333,6.914166667,11.90316667,17.10775,8.960333333,10.9315,10.98916667,18.01166667,9.3,15.16925,19.58958333,9.240666667,7.68275,14.07575,8.675333333,12.23041667,8.152083333,6.427583333
2007,18.42333333,-3.252416667,16.44333333,16.83366667,15.06241667,7.827916667,10.09766667,13.013,13.13341667,22.58808333,18.75233333,23.00133333,6.739416667,12.37216667,12.35941667,10.00966667,13.08408333,14.56775,20.021,5.080583333,13.33083333,8.638416667,8.095666667,5.993833333,18.85108333,13.76033333,6.726916667,10.29783333,10.84533333,6.445833333,11.73608333,12.487,8.206416667,16.21791667,5.769916667,11.647,15.93133333,8.895833333,10.24733333,10.05091667,18.37916667,8.565,15.723,18.33758333,9.664333333,6.234333333,14.17433333,8.302416667,12.28025,7.489916667,6.510583333
2008,17.5695,-4.864083333,15.91633333,15.76175,15.07116667,7.088583333,10.3285,13.05175,12.764,22.10658333,18.05033333,22.75341667,5.509333333,10.84191667,11.10016667,8.356083333,12.26291667,13.2845,19.62083333,5.562,13.06466667,8.8485,7.026166667,4.3685,17.98116667,12.26291667,5.283,9.005916667,10.22216667,6.828666667,11.76158333,12.2065,8.29275,15.53333333,4.399083333,10.76483333,15.63741667,8.315166667,9.896333333,10.28175,17.67716667,6.95225,14.4525,18.712,8.630916667,6.623,13.57783333,7.685916667,11.47841667,5.903583333,5.06675
2009,17.60683333,-3.9795,16.1885,15.81225,15.00425,7.219166667,9.74425,12.54058333,12.43766667,22.29158333,18.03508333,22.8195,5.66425,11.13,11.20758333,8.796583333,12.294,13.32625,19.73466667,5.165666667,12.71191667,8.3775,6.8675,4.767166667,18.13158333,12.5615,5.145416667,8.941583333,10.2045,6.359916667,11.25558333,12.50266667,7.88375,15.30491667,3.995083333,10.73141667,15.56858333,8.559083333,9.65075,9.70475,17.51583333,6.767,14.43716667,18.83258333,8.830083333,6.1935,13.26891667,8.047583333,11.41108333,6.204666667,5.199916667
2010,17.46058333,-3.454916667,15.798,16.47141667,14.40816667,7.758666667,11.05741667,13.31333333,13.28083333,21.28066667,17.7615,22.76183333,5.920166667,12.00225,11.99083333,9.645416667,13.231,13.70375,19.47791667,7.181166667,13.38125,9.826916667,8.663583333,6.282333333,18.07575,13.2585,5.42675,9.925,10.03283333,8.019,12.26741667,12.45225,9.141583333,15.35541667,5.25875,11.39858333,16.08491667,8.574583333,10.5745,11.03141667,17.40258333,7.677666667,14.68525,18.49858333,8.804166667,7.777666667,13.6585,8.442166667,11.72316667,7.86925,5.756416667
2011,18.12425,-3.793416667,15.774,16.86608333,14.26575,7.39225,10.83116667,13.68966667,13.55725,22.59591667,18.724,22.85275,5.425666667,12.11183333,12.17525,9.723083333,13.19616667,14.21475,20.20966667,6.225666667,13.79233333,9.419583333,7.833083333,5.835416667,18.59033333,13.49691667,5.400166667,9.630583333,9.771083333,7.474416667,12.39733333,12.734,9.007583333,16.11933333,5.16125,11.717,16.89625,8.077583333,10.73591667,10.78425,18.29691667,7.470083333,15.23725,19.71808333,8.436666667,7.32675,14.29175,7.619333333,12.42933333,7.191166667,5.31225
2012,18.73491667,-5.280666667,16.75241667,17.826,15.3585,8.992,11.63341667,14.09016667,13.99658333,22.68083333,19.09083333,22.65208333,6.955833333,13.52375,13.31941667,11.742,14.83708333,15.02758333,20.76616667,6.8135,14.18908333,10.31608333,9.3455,7.553583333,19.26766667,15.087,6.998833333,11.81933333,11.31966667,8.322833333,12.95658333,13.48283333,9.91475,16.32016667,7.05875,12.62558333,17.6785,9.030083333,11.4795,11.58641667,18.55425,9.90775,16.01416667,19.92641667,10.24858333,8.153166667,14.56416667,8.477916667,12.877,8.959166667,7.306166667
2013,18.95655556,-2.060375,17.81322222,17.50611111,16.84544444,9.403111111,11.59688889,14.044,14.18766667,23.03366667,19.358,22.522375,8.539222222,13.009,13.05844444,11.11211111,14.63466667,14.93955556,20.96266667,7.505222222,14.26777778,10.52555556,8.731111111,6.845444444,19.44366667,14.41077778,8.457555556,11.807,12.633,8.774222222,13.03777778,14.26388889,9.914111111,16.544,6.933888889,12.58133333,17.52466667,10.76355556,11.54322222,11.56911111,18.73566667,9.773,15.91188889,20.42522222,10.98488889,8.497222222,14.73155556,10.57177778,13.02944444,8.085333333,8.041111111
