,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,entity.name,entity.cik,current_asset,inventory,current_liability,debt,equity,eps
0,2018,2019-01-01,66000.0,,-6427000.0,30695000.0,TWO RIVERS WATER & FARMING Co,0001302946,64000.0,,20092000.0,8099000.0,-12970000,0.08
1,2017,2018-01-01,692000.0,,-9070000.0,38152000.0,TWO RIVERS WATER & FARMING Co,0001302946,70000.0,,24777000.0,17419000.0,-19615000,-0.4
2,2016,,,-8119000.0,-3605000.0,47767000.0,TWO RIVERS WATER & FARMING Co,0001302946,3180000.0,,18916000.0,,-9071000,
3,2015,,,-3746000.0,-1402000.0,47889000.0,TWO RIVERS WATER & FARMING Co,0001302946,6558000.0,,15757000.0,,31124000,
4,2014,,,-4666000.0,-3431000.0,43030000.0,TWO RIVERS WATER & FARMING Co,0001302946,2128000.0,,4249000.0,,28695000,
5,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
6,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
7,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
8,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
9,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
10,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
11,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
12,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
13,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
14,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
15,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
16,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
17,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
18,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
19,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,25618000,
20,2013,,,-5050000.0,-3103000.0,41702000.0,TWO RIVERS WATER & FARMING Co,0001302946,2260000.0,,3123000.0,12961000.0,15647000,
21,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
22,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
23,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
24,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
25,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
26,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
27,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
28,2012,,,-14549000.0,-7889000.0,44452000.0,TWO RIVERS WATER & FARMING Co,0001302946,1647000.0,,12106000.0,,27978000,
29,2011,,,-6147.0,-6640.0,35458.0,TWO RIVERS WATER & FARMING Co,0001302946,1064.0,,1158.0,,22196,
30,2010,,,-9466000.0,-7607000.0,27198000.0,TWO RIVERS WATER Co,0001302946,699000.0,,577000.0,,17493,-0.67
31,2009,,,-3100.0,-2169000.0,11205000.0,Two Rivers Water Company,0001302946,1757000.0,,1266000.0,,7764,-0.33
32,2008,,,,,,,,,,,,7687,
