,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
0,TotalAssets,"845,400,000","930,000,000","910,600,000","1,042,900,000","1,060,300,000","1,267,400,000","1,800,600,000","1,794,900,000","2,587,300,000","2,814,700,000","973,498,443.59","576,329,390.25","494,381,313.49","369,404,630.65","293,943,775.10"
1,"	CurrentAssets","245,000,000","266,100,000","243,900,000","302,000,000","287,100,000","362,900,000","634,600,000","599,800,000","642,300,000","638,400,000","401,979,962.24","177,723,707.71","170,009,005.96","132,616,685.04","98,072,289.16"
2,"		CashCashEquivalentsAndShortTermInvestments","41,200,000","31,400,000","20,200,000","59,000,000","27,300,000","20,500,000","28,900,000","49,500,000","58,200,000","37,300,000","174,114,205.04","40,845,908.94","32,137,510.11","33,535,464.90","12,674,698.80"
3,"			CashAndCashEquivalents","41,200,000","31,400,000","20,200,000","59,000,000","27,300,000","20,500,000","28,900,000","49,500,000","58,200,000","37,300,000","174,114,205.04","40,845,908.94","32,137,510.11","33,535,464.90","12,674,698.80"
4,"		Inventory","54,200,000","53,000,000","51,900,000","58,000,000","61,800,000","83,500,000","97,500,000","65,200,000","64,300,000",,,,,,
5,"			RawMaterials","15,400,000","19,700,000","15,800,000","14,200,000","24,400,000","29,500,000","39,300,000","33,000,000","31,800,000",,,,,,
6,"			WorkInProcess","400,000","200,000","4,900,000","1,800,000","1,200,000","800,000","4,600,000","1,400,000","3,600,000",,,,,,
7,"			FinishedGoods","9,800,000","8,000,000","3,400,000","16,500,000","16,600,000","22,800,000","12,300,000","3,800,000","6,800,000",,,,,,
8,"			OtherInventories","28,600,000","25,100,000","27,800,000","25,500,000","19,600,000","30,400,000","41,300,000","27,000,000","22,100,000",,,,,,
9,"		PrepaidAssets","13,300,000","6,100,000","7,600,000","10,700,000","6,600,000","20,700,000","39,600,000","33,700,000","41,700,000",,,,,,
10,"		RestrictedCash","12,400,000","12,700,000","11,300,000","8,700,000","7,600,000","8,000,000","15,800,000","16,500,000","11,900,000",,,"8,938,817.42",,,
11,"		CurrentDeferredAssets",,,,,,,"3,200,000","6,400,000","1,000,000",,,,,,
12,"			CurrentDeferredTaxesAssets",,,,,,,"9,200,000","5,600,000","8,400,000",,,,,,
13,"		OtherCurrentAssets",,,,,"47,500,000","65,600,000","112,800,000","93,400,000","92,900,000","601,100,000","76,561,941.86","32,959,732.18","55,900,051.05","26,185,226.02","20,160,642.57"
