,period.fiscal-year,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,2021-01-01,349953000.0,-98181000,-34882000,"CVR PARTNERS, LP",0001425292,1032880000.0,118214000.0,42349000.0,76341000.0,633942000.0,,
1,2019,2020-01-01,404177000.0,-34969000,27380000,"CVR Partners, LP",0001425292,1137955000.0,124960000.0,48296000.0,75531000.0,632406000.0,,
2,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1254388000.0,191331000.0,63554000.0,122635000.0,628989000.0,,
3,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1254388000.0,191331000.0,63554000.0,126097000.0,628989000.0,,
4,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1254388000.0,193981000.0,63554000.0,122635000.0,628989000.0,,
5,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1254388000.0,193981000.0,63554000.0,126097000.0,628989000.0,,
6,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1268661000.0,191331000.0,63554000.0,122635000.0,628989000.0,,
7,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1268661000.0,191331000.0,63554000.0,126097000.0,628989000.0,,
8,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1268661000.0,193981000.0,63554000.0,122635000.0,628989000.0,,
9,2018,2019-01-01,351082000.0,-50027000,6314000,"CVR Partners, LP",0001425292,1268661000.0,193981000.0,63554000.0,126097000.0,628989000.0,,
10,2017,2018-01-01,330802000.0,-72788000,-10278000,"CVR PARTNERS, LP",0001425292,1234276000.0,117990000.0,53169000.0,56095000.0,625904000.0,,-0.64
11,2016,2017-01-01,356284000.0,-26938000,24557000,"CVR PARTNERS, LP",0001425292,1312217000.0,134531000.0,58167000.0,63016000.0,623107000.0,,-0.26
12,2015,,,62042000,68729000,"CVR PARTNERS, LP",0001425292,536255000.0,98545000.0,37529000.0,25914000.0,124773000.0,,0.85
13,2014,,,76149000,82803000,"CVR PARTNERS, LP",0001425292,578839000.0,129578000.0,35614000.0,39707000.0,125000000.0,,1.04
14,2013,,,118616000,124851000,"CVR PARTNERS, LP",0001425292,593454000.0,135780000.0,33064000.0,27386000.0,125000000.0,,1.62
15,2012,,,112223000,115758000,"CVR PARTNERS, LP",0001425292,622954000.0,166048000.0,28949000.0,49475000.0,125000000.0,,1.54
16,2011,,,132447000,136198000,"CVR PARTNERS, LP",0001425292,659309000.0,271863000.0,23255000.0,42454000.0,125000000.0,,1.48
17,2010,,,33306000,20356000,"CVR PARTNERS, LP",0001425292,452165000.0,73168000.0,19830000.0,46076000.0,0.0,,0.0
18,2009,,,57878000,48863000,,,,,,,,,0.0
