name,ttm,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
DilutedAverageShares,,"20,104,000","21,164,000","20,906,000","11,792,000","11,310,000","11,776,000","12,956,000","8,752,000","7,316,000","7,316,000","7,316,000","7,356,000","7,626,000","8,424,000","8,590,909",,,"8,397,222"
TotalOperatingIncomeAsReported,"-1,154,021","-2,099,000","-1,647,000","-534,000","-378,000","-1,282,000","-1,717,000","-1,700,000","-2,138,000","-3,057,000","-1,372,000","-2,366,000","-2,474,000","187,000","-2,152,000","-902,000",,,
TotalExpenses,"2,391,844","2,884,000","2,148,000","2,039,000","1,845,000","3,367,000","3,096,000","2,672,000","2,731,000","3,526,000","1,974,000","3,148,000","3,977,000","9,059,000","7,960,000","17,585,000","17,800,000","18,200,000","16,800,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-1,621,583","-2,840,000","2,863,000","2,364,000","-2,026,000","-1,554,000","-2,160,000","937,000","-1,611,000","-4,624,000","-2,321,000","-3,029,000","-3,399,000","-3,857,000","9,014,000","-315,000","-400,000","700,000","-12,100,000"
NormalizedIncome,"-1,209,002","-2,038,512.35","-2,626,473.074","-1,693,000","-1,265,000","-2,179,654.321","2,113,756.506","-1,654,626.54","-2,300,000","-1,704,000","-1,463,473.788","-2,282,000","-2,461,469.281","-497,295.983","-2,257,897.822","-1,143,000","-900,000","-800,000","-1,100,000"
InterestIncome,,,"26,000","8,000","8,000","25,000","19,000","3,000","1,000","119,000","177,000","136,000",,"400,000",,"18,000",,,
InterestExpense,,,"295,000","713,000","892,000","1,004,000","999,000","575,000","519,000","400,000","207,000","60,000",,"964,000",,"259,000","200,000","100,000","100,000"
NetInterestIncome,,,"-269,000","-705,000","-884,000","-979,000","-980,000","-572,000","-518,000","-281,000","-30,000","76,000",,"-564,000",,"-241,000",,,
EBIT,"-820,942","-2,099,000","3,229,000","-534,000","-378,000","-1,282,000","-1,717,000","-1,700,000","-2,138,000","-3,057,000","-1,372,000","-2,366,000","-2,474,000","187,000","-2,152,000","-902,000","-800,000","-700,000","-1,000,000"
EBITDA,"-820,942"
ReconciledCostOfRevenue,"70,886","0","718,000","861,000","914,000","2,289,000","1,976,000","1,677,000","1,519,000","573,000","574,000","1,336,000","1,708,000","4,962,000","4,318,000","12,197,000","12,900,000","12,900,000","12,500,000"
ReconciledDepreciation,,,"89,000","207,000","199,000","215,000","187,000","92,000","169,000","146,000","136,000","111,000","354,000","1,366,000","1,297,000",,"1,200,000","1,100,000","1,100,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,683,583","-2,595,000","2,864,000","3,311,000","-953,000","-1,522,000","-2,302,000","937,000","-1,490,000","-4,391,000","-1,453,000","-2,772,000","-2,343,000","-573,000","-2,428,000","-140,000","-400,000","700,000","-600,000"
TotalUnusualItemsExcludingGoodwill,"-474,581","-573,000","5,609,000","5,004,000","312,000","665,000","-4,485,000","2,918,000","810,000","-2,687,000","11,000","-490,000","121,000","-96,000","-173,000","1,003,000","500,000","1,500,000","500,000"
TotalUnusualItems,"-474,581","-573,000","5,609,000","5,004,000","312,000","665,000","-4,485,000","2,918,000","810,000","-2,687,000","11,000","-490,000","121,000","-96,000","-173,000","1,003,000","500,000","1,500,000","500,000"
NormalizedEBITDA,"-346,361","-1,526,000","-2,291,000","-5,331,000","-491,000","-1,732,000","2,955,000","-4,526,000","-2,779,000","-224,000","-1,247,000","-1,765,000","-2,241,000","1,649,000","-682,000","-596,000","-100,000","-1,100,000","-400,000"
TaxRateForCalcs,"0","0.029","0.021","0","0","0.011","0.015","0.112","0","0","0.048","0","0.021","0.211","0.017","0","0","0","0"
TaxEffectOfUnusualItems,"0","-16,512.35","118,526.926","0","0","7,345.679","-69,243.494","326,373.46","0","0","526.212","0","2,530.719","-20,295.983","-2,897.822","0","0","0","0"
