name,ttm,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
CostOfRevenue,,,,,,,,"0","0","0",,,,,,,,,,
GrossProfit,,,,,,,,,,"0",,,,,,,,,,
OperatingExpense,"2,145,000","3,260,000","5,018,000","6,294,000","11,720,000","20,901,000","11,868,000","12,025,000","11,088,000","13,020,000","-9,374,514.5","43,427,294.7","58,634,645.3","17,933,126.4","-2,013,021","6,788,868.768","2,459,515.621","1,073,703.367","781,159.492","507,419.671"
	SellingGeneralAndAdministration,"2,145,000","3,260,000","5,018,000","6,294,000","11,720,000","9,085,000","11,868,000","12,025,000","11,088,000","9,452,000","13,218,000","12,399,000","9,828,000","16,287,000","14,837,426.948","6,788,868.768","2,459,515.621","1,073,703.367","781,159.492",
		GeneralAndAdministrativeExpense,"2,145,000","3,260,000","5,018,000","6,294,000","11,720,000","9,085,000","11,868,000","12,025,000","11,088,000","9,452,000","13,218,000","12,399,000","9,828,000","16,287,000","14,837,426.948","6,788,868.768","2,459,515.621","1,073,703.367","781,159.492",
			RentAndLandingFees,,,,,,,,,,,"308,256","284,259","311,037.3","272,739.6","260,910","134,890.425",,,,
	ResearchAndDevelopment,,,,,,,,,,,"41,704,000",,,,,,,,,
	OtherOperatingExpenses,,,,,"0","11,816,000",,"0","0","3,568,000","-10,145,154.5","42,646,330.5","57,829,898","17,106,944.4","-2,627,163","6,417,458.147","2,416,523.359",,,
OperatingIncome,"-2,145,000","-3,260,000","-5,018,000","-6,294,000","-11,720,000","-20,901,000","-11,868,000","-12,025,000","-11,088,000","-13,020,000","9,374,514.5","-43,427,294.7","-58,634,645.3","-17,933,126.4","2,013,021","-6,788,868.768","-2,459,515.621","-1,073,703.367","-781,159.492","-507,419.671"
NetNonOperatingInterestIncomeExpense,"-589,000","83,000","720,000","1,002,000","745,000","432,000","188,000","160,000","516,000","764,000","698,392.5","852,777","1,324,788.5","3,694,924.8","5,091,759","3,113,566.651","-1,359,630.267","-3,961,783.439","-142,329.907","35,258.769"
	InterestIncomeNonOperating,"-586,000","86,000","720,000","1,002,000","745,000","432,000","188,000","160,000","516,000","765,000","699,998","854,273.1","1,328,079.9","3,704,878.8","5,107,815","3,117,262.279","917,168.243","12,738.854","1,654.999","35,258.769"
	InterestExpenseNonOperating,,"3,000",,"748,000",,"0","2,380,000","1,737,000","0","1,000","1,605.5","1,496.1","3,291.4","9,954","16,056","3,695.628","2,276,798.51","3,974,522.293","143,984.906",
	TotalOtherFinanceCost,,,,"748,000",,,,,,,,,,,,,,"0",,
