name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,"12,119,505","11,110,237","9,160,340","7,165,115","6,190,325","5,089,049","4,007,341","2,666,595","1,727,140"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,"12,119,505","11,110,237","9,160,340","7,165,115","6,190,325","5,089,049","4,007,341","2,666,595","1,727,140"
	ProvisionForDoubtfulAccounts,,"1,529,660","387,728","9,458","478,707","369,159","217,658","1,170,332","59,374","15,059",,,,,,,,,,
	OtherOperatingExpenses,,,,,,,"6,533,426",,,,,,"-2,934,630",,,,"-569,945","-543,806","-51,473","-338,908"
OperatingIncome,"-5,053,269","1,708,130","2,435,806","-3,949,257","-30,088,846","-58,092,785","-28,640,111","46,749,691","27,286,732","27,084,497","25,070,823","14,489,697","7,844,282","26,818,233","19,320,188","23,274,708","16,142,568","6,965,267","5,113,206","628,359"
NetNonOperatingInterestIncomeExpense,"-2,940,816","-3,108,845","-3,935,073","-1,208,344","-2,010,678","-1,952,106","-3,471,589","-4,232,462","-4,789,168","-3,232,978","-2,096,702","-712,831","-215,652","-15,467",,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,"0","47,074",,,,,,
	InterestExpenseNonOperating,"2,940,816","3,108,845","3,935,073","1,208,344","2,010,678","1,952,106","3,471,589","4,232,462","4,789,168","3,232,978","2,096,702","712,831","215,652","62,541",,,,,,
OtherIncomeExpense,"7,007,672","-6,953,793","3,050,389","3,680,069","5,814,904","145,107","-23,954,267","-10,207,108","20,948,811","416,977","3,765,395","-5,115,020",,"1,661,706","47,777","484,508","639,557","-657,616",,
	GainOnSaleOfSecurity,,"81,327","-878,658","-198,576","-246,436","30,451","1,272,601","63,493","-232,191","-1,757,387",,"-1,402,684",,"-332,610",,,,,,
	EarningsFromEquityInterest,,,,,,,,"0","12,810,696","-552,931",,,,,,,,,,
	SpecialIncomeCharges,"3,213,599","-7,035,120","3,929,047","3,878,645","6,061,340","114,656","-25,226,868","-10,270,601","8,370,306","2,727,295","3,765,395","-3,712,336",,"1,994,316",,,,"-657,616",,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,"657,616",,
		ImpairmentOfCapitalAssets,"480,868","10,729,587","500,000","4,498,066",,"0","13,823,514","15,000,000","1,244,946",,,,,,,,,,,
		OtherSpecialCharges,,,,,,,"6,533,426",,,,"-3,765,395","238,011",,"396,250",,,,,,
		GainOnSaleOfPPE,,"3,694,467","4,429,047","8,376,711","6,061,340","114,656","-4,869,928","4,729,399","9,615,252","2,727,295",,"-3,474,325",,"2,390,566",,,,,,
PretaxIncome,"-986,413","-8,354,508","1,551,122","-1,477,532","-26,284,620","-59,899,784","-56,065,967","32,310,121","43,446,375","24,268,496","26,739,516","15,610,496","7,628,630","28,464,472","19,254,594","23,689,118","16,142,568","6,043,631","5,810,896","-1,750,862"
TaxProvision,"-1,600,197","-1,476,165","3,764,242","17,469,277","-2,756,646","-13,382,988","-13,577,122","10,315,224","6,879,698","6,561,468","8,411,270","-1,396,153","-3,778,826","2,933,943","1,041,000","3,051,000","2,080,000","-298,300","1,552,500","-548,000"
NetIncomeCommonStockholders,"414,549","-7,771,157","-2,213,120","-18,946,809","-23,527,974","-46,516,796","-42,488,845","21,994,897","36,566,677","17,707,028","18,413,357","17,006,649","11,407,456","25,530,529","18,213,594","20,638,118","14,062,568","6,341,931","4,258,396","-1,202,862"
	NetIncome,"414,549","-7,771,157","-2,213,120","-18,946,809","-23,527,974","-46,516,796","-42,488,845","21,994,897","36,566,677","17,707,028","18,413,357","17,006,649","11,407,456","25,530,529","18,213,594","20,638,118","14,062,568","6,341,931","4,258,396","-1,202,862"
		NetIncomeIncludingNoncontrollingInterests,"414,549","-7,771,157","-2,213,120","-18,946,809","-23,527,974","-46,516,796","-42,488,845","21,994,897","36,566,677","17,707,028","18,328,246","17,006,649","11,407,456","25,530,529","18,213,594","20,638,118","14,062,568","6,341,931","4,258,396","-1,202,862"
			NetIncomeContinuousOperations,"613,784","-6,878,343","-2,213,120","-18,946,809","-23,527,974","-46,516,796","-42,488,845","21,994,897","36,566,677","17,707,028","18,328,246","17,006,649","11,407,456","25,530,529","18,213,594","20,638,118","14,062,568","6,341,931","4,258,396","-1,202,862"
			NetIncomeDiscontinuousOperations,"-199,235","-892,814",,,,,,,,,,,,,,,,,,
		MinorityInterests,,,,,,,,,,"0","85,111",,,,,,,,,
DilutedNIAvailtoComStockholders,"414,549","-7,771,157","-2,213,120","-18,946,809","-23,527,974","-46,516,796","-42,488,845","21,994,897","36,566,677","17,707,028","18,413,357","17,006,649","11,407,456","25,530,529","18,213,594","20,638,118","14,062,568","6,341,931","4,258,396","-1,202,862"
BasicEPS,,"-0.15","-0.04","-0.33","-0.41","-1.01","-1.1","0.63","1.24","0.63","0.66","0.63","0.46","1.08","0.81","0.93","0.67","0.35","0.25","-0.08"
DilutedEPS,,"-0.15","-0.04","-0.33","-0.41","-1.01","-1.1","0.63","1.23","0.63","0.65","0.63","0.46","1.07","0.81","0.92","0.66","0.34","0.25","-0.08"
BasicAverageShares,,"52,580,347","56,229,355","58,230,273","57,862,441","46,233,250","38,463,644","34,802,115","29,463,009","28,175,235","27,867,775","26,858,224","24,641,854","23,581,281","22,485,919","22,191,525","20,988,907","18,119,803","17,033,584","15,035,775"
DilutedAverageShares,,"52,580,347","56,229,355","58,230,273","57,862,441","46,233,250","38,463,644","35,157,742","29,625,564","28,233,412","28,279,801","26,990,955","24,675,798","23,949,355","22,485,919","22,432,737","21,306,921","18,652,738","17,033,584","15,035,775"
TotalOperatingIncomeAsReported,,,,,,,,,,,"25,070,823","9,374,677",,"28,479,939","19,320,188","23,274,708","16,142,568","6,206,631","5,108,896","653,340"
TotalExpenses,"208,432,697","232,026,349","359,620,955","321,084,668","271,089,738","206,493,394","315,420,262","474,716,933","353,376,570","274,635,316","234,992,548","182,787,241","106,847,898","137,526,695","96,227,660","76,071,501","53,340,047","36,881,182","30,229,315","14,460,604"
NetIncomeFromContinuingAndDiscontinuedOperation,"414,549","-7,771,157","-2,213,120","-18,946,809","-23,527,974","-46,516,796","-42,488,845","21,994,897","36,566,677","17,707,028","18,413,357","17,006,649","11,407,456","25,530,529","18,213,594","20,638,118","14,062,568","6,341,931","4,258,396","-1,202,862"
