name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,"249,206,000","196,370,000","156,393,000","119,395,000","97,998,000","91,216,000","86,159,000","33,133,000","28,200,000","28,100,000","17,500,000","10,000,000","5,300,000","2,900,000","2,300,000","1,800,000"
	ProvisionForDoubtfulAccounts,,"5,606,000","5,683,000",,,,,"0","0","1,100,000",,"-2,000,000",,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"7,076,000","7,059,000","11,230,000","-4,739,000","-31,957,000","-14,323,000",,,,,,"-20,327,000","7,195,000","10,421,000","-57,950,000","12,485,000","24,291,000","-1,655,000","-2,174,000",,,,,,,,,,,
OperatingIncome,"-477,694,000","-458,860,000","-457,680,000","-137,268,000","-250,044,000","-470,549,000","-293,024,000","267,345,000","318,807,000","463,555,000","520,602,000","178,598,000","-48,214,000","551,494,000","670,276,000","1,039,164,000","581,296,000","171,214,000","84,738,000","8,098,000","280,317,000","41,723,000","-10,200,000","2,700,000","33,400,000","4,700,000","2,300,000","1,900,000","1,600,000","400,000"
NetNonOperatingInterestIncomeExpense,"-38,819,000","-39,516,000","-69,191,000","-45,981,000","-35,606,000","-40,039,000","-35,511,000","-28,846,000","-27,441,000","-22,196,000","-15,465,000","-11,098,000","-3,767,000","916,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"736,000","1,254,000","6,013,000","5,597,000","1,866,000","327,000","964,000","979,000","918,000","554,000","187,000","1,674,000","381,000","1,555,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"39,555,000","40,770,000","75,204,000","51,578,000","37,472,000","40,366,000","36,475,000","29,825,000","28,359,000","22,750,000","15,652,000","12,772,000","4,148,000","639,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"-36,996,000","-432,642,000","-3,507,000","-184,159,000","-42,151,000","14,392,000","-113,914,000","15,784,000","5,075,000","34,314,000","5,581,000","23,254,000","426,000","-9,462,000","58,313,000","-12,138,000","-23,863,000","1,890,000","4,769,000","-4,837,000","-12,760,000","274,000","300,000","1,600,000","2,800,000","-1,100,000","600,000","700,000","300,000","900,000"
	SpecialIncomeCharges,"-37,681,000","-433,398,000","-3,896,000","-184,909,000","-42,494,000","14,323,000","-113,948,000","15,781,000","3,384,000","33,806,000","5,581,000","23,254,000","426,000","-9,462,000","58,313,000","-12,138,000","-23,863,000","1,890,000","4,769,000","-4,837,000","-12,760,000","274,000","300,000","1,600,000","2,800,000","-1,100,000","600,000","700,000","300,000","900,000"
		RestructuringAndMergernAcquisition,,"38,338,000","0","2,738,000","74,451,000",,,,,"0","0","2,485,000",,,,,,,"-2,452,000","4,700,000","13,145,000",,,,,,,,,
		ImpairmentOfCapitalAssets,"0","395,060,000","17,800,000","211,129,000","0","0","124,561,000",,,,,,,"9,964,000",,,,,,,,,,,,,,,,
		WriteOff,,"5,606,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,"-3,471,000","12,684,000","1,553,000","448,000",,,,,"-5,581,000","-25,739,000",,"-502,000",,,,,"-2,317,000","137,000","-385,000",,,,,,,,,
		GainOnSaleOfPPE,,,"13,904,000","28,958,000","33,510,000","14,771,000","10,613,000","15,781,000","3,384,000","33,806,000",,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"685,000","756,000","389,000","750,000","343,000","69,000","34,000","3,000","1,691,000","508,000",,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-553,509,000","-931,018,000","-530,378,000","-367,408,000","-327,801,000","-496,196,000","-442,449,000","254,283,000","296,441,000","475,673,000","510,718,000","190,754,000","-51,555,000","542,948,000","670,807,000","1,043,834,000","584,759,000","171,894,000","88,157,000","3,839,000","266,495,000","37,998,000","-13,400,000","-200,000","35,000,000","2,000,000","1,800,000","2,300,000","1,700,000","1,000,000"
