name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"38,374,000","29,373,000","21,220,000","18,167,000","14,042,000","9,801,000","9,136,000","14,543,000","7,140,000","5,251,000"
"	OperatingRevenue","38,374,000","29,373,000","21,220,000","18,167,000","14,042,000","9,801,000","9,136,000","14,543,000","7,140,000","5,251,000"
CostOfRevenue,"15,505,000","13,260,000","10,907,000","10,528,000","9,522,000","9,256,000","9,438,000","10,736,000","4,333,000","2,172,000"
GrossProfit,"22,869,000","16,113,000","10,313,000","7,639,000","4,520,000","545,000","-302,000","3,807,000","2,807,000","3,079,000"
OperatingExpense,"40,064,000","44,098,000","29,817,000","30,634,000","28,180,000","40,002,000","48,231,000","32,832,000","23,035,000","16,203,000"
"	SellingGeneralAndAdministration","28,734,000","30,072,000","19,155,000","19,814,000","18,510,000","26,502,000","28,950,000","15,018,000","10,294,000","6,793,000"
"	ResearchAndDevelopment","11,330,000","14,026,000","10,662,000","10,820,000","9,670,000","13,500,000","19,281,000","17,814,000","12,741,000","9,410,000"
"	OtherOperatingExpenses",,,,,,,,,"3,610,000",
OperatingIncome,"-17,195,000","-27,985,000","-19,504,000","-22,995,000","-23,660,000","-39,457,000","-48,533,000","-29,025,000","-20,228,000","-13,124,000"
NetNonOperatingInterestIncomeExpense,"-1,443,000","-1,474,000","-2,508,000","-7,728,000","-7,265,000","-4,312,000","-2,848,000","-5,948,000","-2,450,000","-66,000"
"	InterestIncomeNonOperating",,,,"1,000","37,000","51,000","59,000","49,000","16,000","22,000"
"	InterestExpenseNonOperating","1,443,000","1,474,000","2,508,000","7,729,000","7,302,000","4,363,000","2,907,000","5,997,000","2,466,000","88,000"
OtherIncomeExpense,"-1,501,000","-7,716,000","1,799,000","-202,000","-146,000","41,000","-278,000","6,484,000","-16,116,000","10,000"
"	GainOnSaleOfSecurity","-1,463,000","-7,629,000","-5,177,000","-96,000",,,,"6,717,000","-12,461,000","1,000"
"	SpecialIncomeCharges","-445,000","-342,000","6,987,000",,"-146,000","41,000",0,"49,000","-3,610,000",0
"		RestructuringAndMergernAcquisition","445,000","342,000",,,,,,,,
"		OtherSpecialCharges",,,"-6,987,000",,,,"278,000","-49,000","3,610,000",
"	OtherNonOperatingIncomeExpenses","407,000","255,000","-11,000","-106,000","-146,000","41,000","-278,000","-282,000","-3,655,000","9,000"
PretaxIncome,"-20,139,000","-37,175,000","-20,213,000","-30,925,000","-31,071,000","-43,728,000","-51,659,000","-28,489,000","-38,794,000","-13,180,000"
TaxProvision,"29,000","15,000",,0,0,,0,0,0,0
NetIncomeCommonStockholders,"-20,168,000","-37,175,000","-20,213,000","-30,925,000","-31,071,000","-43,728,000","-51,659,000","-29,867,000","-40,833,000","-13,180,000"
"	NetIncome","-20,168,000","-37,175,000","-20,213,000","-30,925,000","-31,071,000","-43,728,000","-51,659,000","-28,489,000","-38,794,000","-13,180,000"
