name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988
TotalRevenue,"8,681,700,000","8,681,700,000","8,906,300,000","9,587,300,000","7,409,400,000","7,162,800,000","8,895,300,000","9,055,800,000","9,974,100,000","11,107,800,000","9,937,800,000","6,759,100,000","10,298,000,000","9,812,600,000","5,773,700,000","5,305,800,000","4,396,700,000","2,190,600,000","2,057,400,000","1,958,700,000","2,095,900,000","2,369,300,000","2,696,200,000","2,988,600,000","2,982,000,000","2,981,000,000","1,924,000,000","1,441,500,000","897,100,000","1,058,500,000","1,131,200,000","1,105,700,000","1,221,700,000","1,085,600,000"
	OperatingRevenue,"8,681,700,000","8,681,700,000","8,906,300,000","9,587,300,000","7,409,400,000","7,162,800,000","8,895,300,000","9,055,800,000","9,974,100,000","11,107,800,000","9,937,800,000","6,759,100,000","10,298,000,000","9,812,600,000","5,773,700,000","5,305,800,000","4,396,700,000","2,190,600,000","2,057,400,000","1,958,700,000","2,095,900,000","2,369,300,000","2,696,200,000","2,988,600,000","2,982,000,000","2,981,000,000","1,924,000,000","1,441,500,000","897,100,000","1,058,500,000","1,131,200,000","1,105,700,000","1,221,700,000","1,085,600,000"
CostOfRevenue,"7,616,800,000","7,616,800,000","8,009,000,000","8,088,900,000","6,566,600,000","6,352,800,000","7,177,400,000","7,129,200,000","7,213,900,000","8,022,800,000","6,816,000,000","5,065,800,000","7,531,300,000","6,652,100,000","4,847,600,000","4,668,400,000","3,871,200,000","2,009,400,000","1,794,400,000","1,769,800,000","1,592,200,000","1,594,100,000","1,706,100,000","2,066,800,000","2,027,600,000","2,061,500,000","1,341,100,000","1,111,500,000","710,700,000","745,700,000","800,100,000","783,200,000","786,300,000","744,600,000"
GrossProfit,"1,064,900,000","1,064,900,000","897,300,000","1,498,400,000","842,800,000","810,000,000","1,717,900,000","1,926,600,000","2,760,200,000","3,085,000,000","3,121,800,000","1,693,300,000","2,766,700,000","3,160,500,000","926,100,000","637,400,000","525,500,000","181,200,000","263,000,000","188,900,000","503,700,000","775,200,000","990,100,000","921,800,000","954,400,000","919,500,000","582,900,000","330,000,000","186,400,000","312,800,000","331,100,000","322,500,000","435,400,000","341,000,000"
OperatingExpense,"652,000,000","652,000,000","530,100,000","570,100,000","377,100,000","491,000,000","439,100,000","505,800,000","550,600,000","410,100,000","457,600,000","422,500,000","365,800,000","335,500,000","311,900,000","244,000,000","207,000,000","48,300,000","80,700,000","81,800,000","274,300,000","397,000,000","442,100,000","618,800,000","431,600,000","392,000,000","209,600,000","188,400,000","312,800,000","151,400,000","155,300,000","154,200,000","169,500,000","132,800,000"
	SellingGeneralAndAdministration,"371,500,000","371,500,000","354,100,000","341,100,000","301,300,000","304,200,000","361,200,000","382,400,000","427,300,000","410,100,000","372,500,000","360,300,000","321,400,000","335,500,000","309,800,000","241,300,000","207,000,000","79,600,000","80,700,000","81,800,000","102,700,000","164,500,000","190,400,000","435,600,000","247,200,000","223,400,000","75,200,000","66,000,000","251,300,000","68,100,000","65,100,000","61,700,000","69,800,000","54,300,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"171,600,000","232,500,000","251,700,000","183,200,000","184,400,000","168,600,000","134,400,000","122,400,000","61,500,000","83,300,000","90,200,000","92,500,000","99,700,000","78,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"171,600,000","232,500,000","251,700,000","183,200,000","184,400,000","168,600,000","134,400,000","122,400,000","61,500,000","83,300,000","90,200,000","92,500,000","99,700,000","78,500,000"
	OtherOperatingExpenses,"280,500,000","280,500,000","176,000,000","229,000,000","75,800,000","186,800,000","77,900,000","123,400,000","123,300,000","63,800,000","85,100,000","62,200,000","44,400,000",,"2,100,000","2,700,000",,"-31,300,000",,,,,,,,,,,,,,,,
OperatingIncome,"412,900,000","412,900,000","367,200,000","928,300,000","465,700,000","319,000,000","1,278,800,000","1,420,800,000","2,209,600,000","2,674,900,000","2,664,200,000","1,270,800,000","2,400,900,000","2,825,000,000","614,200,000","393,400,000","318,500,000","132,900,000","182,300,000","107,100,000","229,400,000","378,200,000","548,000,000","303,000,000","522,800,000","527,500,000","373,300,000","141,600,000","-126,400,000","161,400,000","175,800,000","168,300,000","265,900,000","208,200,000"
NetNonOperatingInterestIncomeExpense,"-180,600,000","-180,600,000","-182,900,000","-166,100,000","-138,100,000","-112,400,000","-97,800,000","-107,600,000","18,800,000","18,700,000","-5,100,000","-49,600,000","-43,300,000",,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"33,500,000","33,500,000","33,100,000","49,700,000","33,200,000","28,200,000","35,800,000","21,300,000","18,800,000","20,100,000","22,500,000","16,100,000","46,900,000",,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"214,100,000","214,100,000","216,000,000","215,800,000","171,300,000","140,600,000","133,600,000","128,900,000","0","1,400,000","27,600,000","65,700,000","90,200,000",,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,"182,900,000","166,100,000",,,,,"-18,800,000","-18,700,000",,,"-43,300,000",,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-51,400,000","-51,400,000","-1,440,400,000","-210,700,000","46,400,000","35,800,000","-77,700,000","-95,900,000","-13,900,000","-64,700,000","612,200,000","-31,500,000","-548,100,000","71,900,000","80,300,000","-341,300,000","72,900,000","-23,700,000","-7,400,000","-26,200,000","1,900,000","-689,500,000","-216,300,000","6,200,000","5,700,000","-32,800,000","14,700,000","25,700,000",,"24,500,000","18,100,000","6,600,000","2,300,000","18,900,000"
	GainOnSaleOfSecurity,"-64,300,000","-64,300,000","20,200,000","-191,900,000","49,900,000","40,100,000","-60,500,000","79,100,000","-15,900,000","16,900,000","-56,300,000","-32,400,000",,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,"0","0","685,600,000","0","-673,400,000","124,000,000","41,300,000","48,400,000","55,900,000",,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","0","-1,462,100,000",,,"0",,"-109,000,000",,"-81,600,000","-17,100,000","900,000","125,300,000","-52,100,000","39,000,000","-389,700,000","17,000,000","-23,700,000","-7,400,000","-26,200,000","1,900,000","-689,500,000","-216,300,000","6,200,000","5,700,000","-32,800,000","14,700,000","25,700,000",,"24,500,000","18,100,000","6,600,000","2,300,000","18,900,000"
		RestructuringAndMergernAcquisition,,,,,,"0",,"125,400,000",,,,,,"18,300,000","-2,100,000","287,600,000",,"6,500,000",,"11,000,000",,,,,,,,,,,,,,
		WriteOff,"0","0","1,462,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,"33,800,000","-36,900,000","102,100,000",,"17,200,000",,"15,200,000",,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,"0",,"16,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,"0",,"16,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"12,900,000","12,900,000","1,500,000","-18,800,000","-3,500,000","-4,300,000","-17,200,000","-66,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"180,900,000","180,900,000","-1,256,100,000","551,500,000","374,000,000","242,400,000","1,103,300,000","1,217,300,000","2,214,500,000","2,628,900,000","3,271,300,000","1,189,700,000","2,905,700,000","2,682,400,000","505,700,000","-160,100,000","214,900,000","-74,100,000","16,900,000","-30,700,000","131,100,000","-465,700,000","141,600,000","131,300,000","322,000,000","238,400,000","207,400,000","7,800,000","-177,300,000","141,400,000","152,800,000","127,600,000","214,900,000","190,900,000"
