name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
		RestrictedCash,"12,400,000","12,700,000","11,300,000","8,700,000","7,600,000","8,000,000","15,800,000","16,500,000","11,900,000",,,"8,938,817.419",,,
		CurrentDeferredAssets,,,,,,,"3,200,000","6,400,000","1,000,000",,,,,,
			CurrentDeferredTaxesAssets,,,,,,,"9,200,000","5,600,000","8,400,000",,,,,,
		OtherCurrentAssets,,,,,"47,500,000","65,600,000","112,800,000","93,400,000","92,900,000","601,100,000","76,561,941.86","32,959,732.181","55,900,051.053","26,185,226.02","20,160,642.57"
	TotalNonCurrentAssets,"600,400,000","663,900,000","666,700,000","740,900,000","773,200,000","904,500,000","1,166,000,000","1,195,100,000","1,945,000,000","2,176,300,000","571,518,481.349","398,605,682.534","324,372,307.533","236,787,945.608","195,871,485.944"
		NetPPE,"385,100,000","416,700,000","392,500,000","432,200,000","476,400,000","554,500,000","870,300,000","800,000,000","1,059,400,000","1,044,100,000","142,050,383.575","98,689,376.095","68,003,602.384","43,642,043.366","31,293,172.691"
			GrossPPE,"974,500,000","953,500,000","885,000,000","916,700,000","903,500,000","1,064,200,000","1,544,000,000","1,376,100,000","1,597,200,000","1,283,800,000","265,883,073.364","68,180,053.322",,,
				MachineryFurnitureEquipment,,"868,100,000","851,000,000","878,900,000","867,400,000","1,007,600,000","1,443,600,000","1,296,700,000","1,459,200,000","1,053,100,000","173,467,825.614","107,438,373.066",,,
				OtherProperties,"965,900,000","942,800,000","882,000,000","911,900,000","899,800,000","1,038,200,000","1,484,500,000","1,355,000,000","1,528,400,000","230,700,000","92,415,247.75","-68,076,514.897",,,
				ConstructionInProgress,"8,600,000","10,700,000","3,000,000","4,800,000","3,700,000","26,000,000","59,500,000","21,100,000","68,800,000",,,"28,818,195.153",,,
			AccumulatedDepreciation,"-589,400,000","-536,800,000","-492,500,000","-484,500,000","-427,100,000","-509,700,000","-673,700,000","-576,100,000","-537,800,000","-239,700,000","-123,832,689.789","30,509,322.772",,,
		GoodwillAndOtherIntangibleAssets,"173,300,000","172,200,000","173,800,000","183,900,000","175,900,000","179,000,000","261,700,000","359,600,000","835,700,000","1,102,200,000","414,227,151.338","297,759,255.904","253,027,321.903","187,449,467.108","161,429,718.876"
			Goodwill,"172,700,000","171,100,000","172,700,000","181,900,000","172,600,000","174,200,000","207,800,000","294,100,000","706,100,000","898,900,000","355,729,813.4",,"230,196,926.501","187,449,467.108","161,429,718.876"
			OtherIntangibleAssets,"600,000","1,100,000","1,100,000","2,000,000","3,300,000","4,800,000","53,900,000","65,500,000","129,600,000","203,300,000","58,497,337.937",,"22,830,395.402",,
		NonCurrentDeferredAssets,"8,900,000","6,800,000","0","1,800,000","1,800,000","2,300,000","10,900,000","4,100,000","12,100,000","12,300,000","4,643,725.867","552,204.937","0","0","0"
			NonCurrentDeferredTaxesAssets,"16,300,000","30,500,000","26,900,000","21,200,000","12,200,000","13,100,000","12,600,000","16,200,000","29,100,000","10,300,000","5,358,145.231","1,604,845.598","2,724,733.12","3,472,987.872","3,068,273.092"
		OtherNonCurrentAssets,"4,100,000","6,400,000","7,000,000","1,600,000","1,000,000","2,800,000","4,200,000","5,300,000","6,300,000",,"-17,009.985","0","616,650.127","2,223,447.262","80,321.285"
