name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
				OtherPayable,,,,"0","0","5,982,000","13,747,000","0","1,979,000",,"0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0"
			CurrentAccruedExpenses,"6,411,000","15,336,000","19,322,000","10,095,000","4,020,000","6,193,000","17,345,000","11,550,000","30,855,000","16,338,000",,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"90,000","90,000","90,000","90,000","142,000","100,000",,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"1,049,000","10,673,000","9,390,000",,,,"20,000,000",,,,,,,,,"4,400,512","3,973,000","5,366,000","5,043,000","9,874,000",,,,,,,,
			CurrentDebt,,"9,322,000","8,831,000",,,"0","20,000,000",,,,,,,,,"4,400,512","3,973,000","5,366,000","5,043,000","9,874,000",,,,,,,,
				LineOfCredit,,,,,,"0","20,000,000",,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,"9,322,000","8,831,000",,,,"20,000,000",,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"1,049,000","1,351,000","559,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"422,000","461,000","367,000",,,,"175,000","334,000","2,141,000","146,000","0","197,000","0","1,616,844",,,,,,,,,,,,,,
			CurrentDeferredRevenue,"422,000","461,000","367,000",,,,"175,000","334,000","2,141,000","146,000","0","197,000","0","1,616,844",,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,"302,000","0","0","0","0","0","0","2,519,000","0","0","0","2,152,150","7,208,761","5,861,146","1,525,000","8,738,000","5,043,000","2,325,000","1,996,000","1,600,000","500,000","4,300,000","500,000","800,000","4,000,000","1,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"83,868,000","93,906,000","95,472,000","17,821,000","28,268,000","23,285,000","30,796,000","25,400,000","20,931,000","13,799,000","21,369,000","21,172,000","22,672,000","18,664,217","17,383,504","17,302,012","15,963,000","17,785,000","25,491,000","39,774,000","3,764,000","2,200,000","2,100,000","2,100,000","2,200,000","2,000,000","1,700,000","1,500,000"
		LongTermDebtAndCapitalLeaseObligation,"76,222,000","77,204,000","74,108,000",,"41,000","117,000","226,000","106,000",,,,,,,,,,"3,973,000","9,339,000","28,261,000",,,,,,,,
			LongTermDebt,"74,303,000","74,697,000","74,108,000",,,,,,,,,,,,,,,"3,973,000","9,339,000","28,261,000",,,,,,,,
			LongTermCapitalLeaseObligation,"1,919,000","2,507,000",,,,,,,,,,,,,,,,,,,,,,,,,,
