name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
			AccumulatedDepreciation,"-400,308,000","-246,224,000","-212,217,000","-173,803,000","-113,117,000","-128,038,000","-80,030,000","-62,118,000","-44,510,000","-27,036,000","-11,995,000"
		NonCurrentDeferredAssets,,,,,,,,"0",,,
			NonCurrentDeferredTaxesAssets,"16,000","108,000","461,000","1,372,000","3,058,000","2,002,000","2,486,000","2,763,000","853,000",,
		OtherNonCurrentAssets,,,,"-1,000",,,"1,000","0",,,
TotalLiabilitiesNetMinorityInterest,"8,959,000","8,377,000","6,783,000","100,689,000","136,333,000","211,266,000","249,404,000","180,807,000","138,760,000","176,648,000","159,020,000"
	CurrentLiabilities,"7,933,000","7,311,000","6,350,000","20,441,000","45,204,000","109,370,000","136,638,000","90,991,000","39,893,000","66,893,000","29,084,000"
		CurrentProvisions,"1,573,000",,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"616,000","340,000","0","10,000,000","10,000,000","10,000,000","10,000,000","11,000,000","16,500,000","45,667,000","9,250,000"
			CurrentDebt,,,"0","10,000,000","10,000,000","10,000,000","10,000,000","11,000,000","16,500,000","45,667,000","9,250,000"
			CurrentCapitalLeaseObligation,"616,000","340,000",,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,026,000","1,066,000","433,000","80,248,000","91,129,000","101,896,000","112,766,000","89,816,000","98,867,000","109,755,000","129,936,000"
		LongTermDebtAndCapitalLeaseObligation,"1,017,000","1,066,000","0","80,000,000","90,000,000","100,000,000","110,000,000","87,098,000","98,098,000","109,098,000","125,097,000"
			LongTermDebt,,,"0","80,000,000","90,000,000","100,000,000","110,000,000","87,098,000","98,098,000","109,098,000","125,097,000"
			LongTermCapitalLeaseObligation,"1,017,000","1,066,000",,,,,,,,,
		TradeandOtherPayablesNonCurrent,,,"433,000","248,000",,"1,896,000",,,,,
		OtherNonCurrentLiabilities,"9,000",,,,,,"2,766,000","2,164,000",,,
TotalEquityGrossMinorityInterest,"83,128,000","250,985,000","261,390,000","231,209,000","227,067,000","244,276,000","208,352,000","207,512,000","178,347,000","138,953,000","123,831,000"
	StockholdersEquity,"83,128,000","250,985,000","261,390,000","231,209,000","227,067,000","244,276,000","208,352,000","207,512,000","178,347,000","138,953,000","123,831,000"
		CapitalStock,"525,000","525,000","477,000","304,000","304,000","304,000","304,000","304,000","304,000","304,000","271,000"
			CommonStock,"525,000","525,000","477,000","304,000","304,000","304,000","304,000","304,000","304,000","304,000","271,000"
		AdditionalPaidInCapital,"218,381,000","218,381,000","198,242,000","129,837,000","129,837,000","129,837,000","129,837,000","129,837,000","129,837,000","129,837,000","111,116,000"
		RetainedEarnings,"-135,778,000","32,079,000","62,671,000","101,068,000","96,926,000","114,135,000","78,211,000","77,371,000","48,206,000","8,812,000","12,444,000"
TotalCapitalization,"83,128,000","250,985,000","261,390,000","311,209,000","317,067,000","344,276,000","318,352,000","294,610,000","276,445,000","248,051,000","248,928,000"
CommonStockEquity,"83,128,000","250,985,000","261,390,000","231,209,000","227,067,000","244,276,000","208,352,000","207,512,000","178,347,000","138,953,000","123,831,000"
CapitalLeaseObligations,"1,633,000","1,406,000",,,,,,,,,
NetTangibleAssets,"83,128,000","250,985,000","261,390,000","231,209,000","227,067,000","244,276,000","208,352,000","207,512,000","178,347,000","138,953,000","123,831,000"
WorkingCapital,"16,242,000","48,608,000","74,601,000","131,277,000","76,270,000","109,834,000","67,467,000","49,286,000","26,188,000","-13,865,000","44,444,000"
InvestedCapital,"83,128,000","250,985,000","261,390,000","321,209,000","327,067,000","354,276,000","328,352,000","305,610,000","292,945,000","293,718,000","258,178,000"
TangibleBookValue,"83,128,000","250,985,000","261,390,000","231,209,000","227,067,000","244,276,000","208,352,000","207,512,000","178,347,000","138,953,000","123,831,000"
TotalDebt,"1,633,000","1,406,000","0","90,000,000","100,000,000","110,000,000","120,000,000","98,098,000","114,598,000","154,765,000","134,347,000"
NetDebt,,,,,"32,270,000",,"45,429,000","46,751,000","97,672,000","129,665,000","66,640,000"
ShareIssued,"54,582,000","54,582,000","49,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,031,500"
OrdinarySharesNumber,"54,582,000","54,582,000","49,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,032,000","30,031,500"
